i	j	x	r	mach	theta	press	temp	massflow
100	0	0.724356	0	1.5	0	136.202	365.518	0
93	1	0.686255	0	1.47804	0	140.591	368.845	0
93	2	0.687073	0	1.4761	0	140.984	369.139	0
93	3	0.690938	0	1.47459	0	141.29	369.368	0
93	4	0.697924	0	1.4733	0	141.553	369.564	0
93	5	0.708137	0	1.47215	0	141.787	369.739	0
93	6	0.721658	0	1.47109	0	142.003	369.899	0
93	7	0.738563	0	1.47011	0	142.204	370.049	0
93	8	0.758874	0	1.46918	0	142.394	370.19	0
93	9	0.782665	0	1.4683	0	142.574	370.324	0
93	10	0.810079	0	1.46745	0	142.747	370.452	0
93	11	0.841221	0	1.46664	0	142.914	370.576	0
93	12	0.87622	0	1.46586	0	143.075	370.695	0
93	13	0.915036	0	1.46511	0	143.228	370.808	0
93	14	0.961683	0	1.51625	0	133.027	363.063	0
93	15	1.01674	0	1.58896	0	119.574	352.17	0
93	16	1.07671	0	1.63711	0	111.32	345.046	0
93	17	1.14321	0	1.70217	0	100.966	335.555	0
94	18	1.17917	0	1.72677	0	97.2803	332.008	0
94	19	1.21675	0	1.76368	0	91.9779	326.734	0
95	20	1.25375	0	1.79005	0	88.353	323.002	0
95	21	1.29871	0	1.83002	0	83.1097	317.405	0
96	22	1.33694	0	1.8586	0	79.5379	313.446	0
96	23	1.39054	0	1.90355	0	74.2112	307.299	0
97	24	1.43026	0	1.93386	0	70.8119	303.21	0
97	25	1.49408	0	1.98536	0	65.3739	296.366	0
98	26	1.53561	0	2.01715	0	62.2195	292.208	0
98	27	1.61168	0	2.07678	0	56.6957	284.548	0
99	28	1.65541	0	2.10995	0	53.8329	280.367	0
100	29	1.69977	0	2.14422	0	51.025	276.108	0
100	30	1.74637	0	2.17896	0	48.3262	271.855	0
101	31	1.79282	0	2.21455	0	45.7077	267.562	0
102	32	1.84002	0	2.24919	0	43.2959	263.45	0
102	33	1.90216	0	2.29536	0	40.2775	258.066	0
103	34	1.95197	0	2.33176	0	38.0481	253.901	0
104	35	2.00272	0	2.36865	0	35.9161	249.752	0
104	36	2.0844	0	2.42701	0	32.788	243.334	0
105	37	2.13847	0	2.46558	0	30.8748	239.19	0
106	38	2.19368	0	2.50418	0	29.074	235.118	0
106	39	2.30049	0	2.57816	0	25.9196	227.528	0
107	40	2.36001	0	2.61858	0	24.3478	223.498	0
108	41	2.42094	0	2.65999	0	22.8397	219.452	0
109	42	2.48335	0	2.70135	0	21.4306	215.495	0
109	43	2.56084	0	2.75255	0	19.8107	210.71	0
110	44	2.62747	0	2.796	0	18.5371	206.747	0
111	45	2.69586	0	2.84004	0	17.3334	202.819	0
112	46	2.7661	0	2.88464	0	16.1982	198.932	0
112	47	2.88052	0	2.95629	0	14.5361	192.872	0
113	48	2.95664	0	3.00313	0	13.5481	189.032	0
114	49	3.035	0	3.05099	0	12.612	185.204	0
115	50	3.1157	0	3.09926	0	11.7372	181.439	0
115	51	3.28219	0	3.19751	0	10.151	174.067	0
116	52	3.3713	0	3.24818	0	9.42421	170.411	0
117	53	3.46338	0	3.30146	0	8.71989	166.671	0
118	54	3.55848	0	3.35399	0	8.08069	163.084	0
119	55	3.65684	0	3.40884	0	7.46685	159.444	0
119	56	3.80124	0	3.48666	0	6.6809	154.457	0
120	57	3.8308	0	3.5	0	6.55546	153.623	0
