i	j	x	r	mach	theta	press	temp
97	58	2.69521	0.361258	2.86334	6.12096	16.7303	200.777
98	58	2.73702	0.350563	2.8873	5.88879	16.1332	198.703
99	58	2.803	0.333598	2.92493	5.5264	15.2403	195.497
100	58	2.84588	0.322513	2.9493	5.29275	14.69	193.453
101	58	2.88894	0.311328	2.97368	5.06043	14.1606	191.435
102	58	2.97042	0.290025	3.01961	4.62531	13.2177	187.703
103	58	3.01476	0.278353	3.04444	4.39178	12.7359	185.723
104	58	3.05945	0.266529	3.0694	4.15764	12.2703	183.757
105	58	3.10439	0.254577	3.09435	3.92526	11.8233	181.819
106	58	3.1592	0.239914	3.12468	3.64327	11.3028	179.495
107	58	3.20542	0.227478	3.15011	3.40818	10.8856	177.576
108	58	3.252	0.214872	3.17559	3.17332	10.4837	175.678
109	58	3.29898	0.202089	3.20116	2.93847	10.0967	173.8
110	58	3.37369	0.181605	3.24151	2.5687	9.51662	170.887
111	58	3.42218	0.168209	3.26746	2.33133	9.16254	169.045
112	58	3.47114	0.154597	3.29348	2.09296	8.82161	167.224
113	58	3.52054	0.140775	3.31949	1.85436	8.49452	165.428
114	58	3.6194	0.112842	3.37074	1.37892	7.88767	161.962
115	58	3.67062	0.0982189	3.39664	1.13522	7.59896	160.245
116	58	3.72249	0.0832996	3.42257	0.883459	7.32126	158.55
117	58	3.77476	0.068147	3.44759	0.632862	7.0637	156.936
118	58	3.82765	0.0526825	3.47192	0.369459	6.82261	155.386
119	58	3.90292	0.0304058	3.49992	0.00123573	6.55624	153.628
120	58	3.91785	0.0259548	3.5	0	6.55546	153.623
121	58	4.00491	0	3.5	0	6.55546	153.623

0	59	0.315344	1.0499	1.68538	16.0174	103.552	337.988
1	59	0.329962	1.04448	1.69011	16.0179	102.818	337.302
2	59	0.347388	1.03808	1.69599	16.0116	101.912	336.449
3	59	0.365563	1.03144	1.70233	15.9992	100.941	335.531
4	59	0.384474	1.0246	1.70911	15.9811	99.9127	334.551
5	59	0.404103	1.01755	1.71631	15.9581	98.8316	333.512
6	59	0.424433	1.01031	1.7239	15.9306	97.7034	332.42
7	59	0.445444	1.00289	1.73186	15.8992	96.5335	331.278
8	59	0.467117	0.995303	1.74015	15.8643	95.3266	330.089
9	59	0.489434	0.987562	1.74877	15.8264	94.0872	328.857
10	59	0.512374	0.979676	1.7577	15.7858	92.8191	327.585
11	59	0.535922	0.971656	1.76692	15.7426	91.5256	326.274
12	59	0.560059	0.963513	1.77643	15.6971	90.2094	324.926
13	59	0.58477	0.955255	1.78621	15.6492	88.8727	323.543
14	59	0.610042	0.94689	1.79628	15.599	87.5171	322.126
15	59	0.635862	0.938428	1.80662	15.5463	86.1439	320.673
16	59	0.66222	0.929875	1.81724	15.4908	84.7539	319.186
17	59	0.689106	0.921236	1.82815	15.4324	83.3475	317.664
18	59	0.716515	0.912517	1.83937	15.3707	81.9251	316.106
19	59	0.744439	0.903724	1.8509	15.3053	80.4866	314.51
20	59	0.772875	0.894858	1.86275	15.2358	79.0318	312.875
21	59	0.801822	0.885925	1.87495	15.1615	77.5604	311.199
22	59	0.821746	0.879828	1.88307	15.1186	76.5954	310.088
23	59	0.851318	0.870855	1.89578	15.0366	75.1072	308.355
24	59	0.871756	0.864707	1.90431	14.9874	74.1243	307.196
25	59	0.892344	0.858555	1.913	14.9355	73.1359	306.02
26	59	0.912034	0.852713	1.92041	14.9113	72.3015	305.019
27	59	0.930963	0.847137	1.92711	14.9009	71.5564	304.117
28	59	0.949916	0.841594	1.934	14.8857	70.7967	303.191
29	59	0.969037	0.83604	1.94118	14.8648	70.0138	302.23
30	59	0.987997	0.830571	1.94823	14.8463	69.2524	301.287
31	59	1.00735	0.825028	1.95576	14.8188	68.4488	300.284
32	59	1.02662	0.819544	1.96322	14.7928	67.6602	299.291
33	59	1.04609	0.814045	1.97093	14.7625	66.8557	298.27
34	59	1.06591	0.80848	1.97905	14.7244	66.0175	297.197
35	59	1.08532	0.803072	1.98674	14.6949	65.2333	296.184
36	59	1.10176	0.798516	1.99392	14.6518	64.5094	295.241
37	59	1.12166	0.793035	2.00218	14.6118	63.6857	294.159
38	59	1.1379	0.788587	2.00914	14.5737	63.0004	293.251
39	59	1.15473	0.784002	2.01671	14.5242	62.2617	292.265
40	59	1.17122	0.779533	2.02393	14.4815	61.5655	291.327
41	59	1.18755	0.775128	2.03106	14.4402	60.886	290.405
42	59	1.20439	0.770609	2.03875	14.3884	60.1604	289.412
43	59	1.22128	0.766101	2.04653	14.3346	59.4349	288.41
44	59	1.23732	0.761839	2.05348	14.296	58.7946	287.519
45	59	1.2539	0.757453	2.06109	14.2448	58.1012	286.546
46	59	1.2691	0.753452	2.06839	14.189	57.4429	285.615
47	59	1.28408	0.749523	2.07552	14.1358	56.8069	284.708
48	59	1.29829	0.745811	2.08193	14.0952	56.2417	283.895
49	59	1.31441	0.741618	2.08947	14.0421	55.5836	282.942
50	59	1.32837	0.737999	2.09635	13.9868	54.9895	282.075
51	59	1.34298	0.734226	2.10354	13.929	54.3747	281.17
52	59	1.35674	0.730687	2.10998	13.8839	53.8309	280.364
53	59	1.3696	0.727387	2.11609	13.8392	53.319	279.6
54	59	1.38259	0.724068	2.1225	13.7879	52.7876	278.801
55	59	1.39544	0.72079	2.12895	13.7342	52.2576	277.998
56	59	1.40803	0.717591	2.13532	13.6803	51.7397	277.208
57	59	1.4202	0.714504	2.14148	13.6285	51.2442	276.447
58	59	1.43121	0.711721	2.14663	13.5925	50.8328	275.811
59	59	1.44229	0.708927	2.15213	13.5481	50.3975	275.134
60	59	1.45286	0.706266	2.15755	13.5013	49.9719	274.468
61	59	1.46303	0.703712	2.16285	13.4542	49.56	273.82
62	59	1.46732	0.702637	2.1657	13.4181	49.3394	273.471
63	59	1.47019	0.701916	2.16793	13.3853	49.167	273.198
64	59	1.47565	0.700547	2.17118	13.3492	48.9178	272.801
65	59	1.48322	0.698651	2.17488	13.3203	48.6355	272.351
66	59	1.49375	0.696016	2.1799	13.2835	48.2551	271.74
67	59	1.50738	0.692619	2.18631	13.2381	47.7735	270.963
