i	j	x	r	mach	theta	press	temp	massflow
0	0	0	1	1.17779	0	212.216	414.892	35.7288
0	1	0.000230286	1	1.17789	0.0131944	212.191	414.878	36.0004
0	2	0.000920735	1	1.17816	0.0527543	212.115	414.836	36.0074
0	3	0.00207073	1	1.17865	0.118644	211.981	414.761	36.0124
0	4	0.00367965	1.00001	1.17938	0.210829	211.782	414.65	36.0154
0	5	0.00574714	1.00002	1.18039	0.329289	211.506	414.495	36.0168
0	6	0.00827332	1.00003	1.18174	0.474031	211.138	414.289	36.0167
0	7	0.0112592	1.00006	1.18349	0.645118	210.659	414.021	36.0153
0	8	0.0147071	1.00011	1.18573	0.842684	210.049	413.678	36.0131
0	9	0.0186211	1.00017	1.18855	1.06697	209.284	413.246	36.0101
0	10	0.0230076	1.00026	1.19204	1.31835	208.336	412.711	36.0068
0	11	0.027876	1.00039	1.19633	1.59738	207.178	412.054	36.0034
0	12	0.0332391	1.00055	1.20152	1.90481	205.78	411.258	36.0004
0	13	0.0391138	1.00077	1.20775	2.24162	204.11	410.301	35.9987
0	14	0.0455216	1.00104	1.21516	2.6091	202.136	409.164	35.9981
0	15	0.0524892	1.00138	1.22389	3.00879	199.828	407.823	35.9981
0	16	0.0600488	1.0018	1.23409	3.44261	197.154	406.257	35.998
0	17	0.0682387	1.00233	1.2459	3.91283	194.086	404.44	35.9979
0	18	0.0725912	1.00264	1.25257	4.16283	192.367	403.414	35.9979
0	19	0.0771036	1.00298	1.2595	4.4221	190.596	402.349	35.9979
0	20	0.0814532	1.00332	1.26654	4.6721	188.804	401.264	35.9978
0	21	0.0866942	1.00377	1.27503	4.97346	186.66	399.957	35.9978
0	22	0.0910403	1.00415	1.28243	5.22346	184.807	398.818	35.9978
0	23	0.097068	1.00472	1.29269	5.57036	182.258	397.239	35.9978
0	24	0.10141	1.00516	1.30041	5.82036	180.356	396.05	35.9977
0	25	0.108289	1.00588	1.31265	6.2167	177.372	394.167	35.9977
0	26	0.112626	1.00636	1.32067	6.4667	175.435	392.932	35.9977
0	27	0.120429	1.00728	1.3351	6.91684	171.99	390.712	35.9976
0	28	0.124759	1.00781	1.3434	7.16684	170.032	389.436	35.9976
0	29	0.129087	1.00837	1.35169	7.41684	168.092	388.161	35.9976
0	30	0.133564	1.00896	1.36027	7.67561	166.103	386.843	35.9976
0	31	0.137887	1.00955	1.36881	7.92561	164.138	385.53	35.9976
0	32	0.142208	1.01016	1.37736	8.17561	162.192	384.219	35.9976
0	33	0.14778	1.01098	1.38838	8.49832	159.708	382.528	35.9976
0	34	0.152094	1.01163	1.39715	8.74832	157.751	381.183	35.9976
0	35	0.156406	1.01231	1.40593	8.99832	155.813	379.839	35.9976
0	36	0.163168	1.0134	1.4197	9.39083	152.81	377.733	35.9975
0	37	0.167471	1.01412	1.42868	9.64083	150.874	376.359	35.9975
0	38	0.171771	1.01486	1.43767	9.89083	148.958	374.988	35.9975
0	39	0.179825	1.0163	1.45452	10.3596	145.418	372.419	35.9975
0	40	0.184116	1.0171	1.46371	10.6096	143.517	371.022	35.9975
0	41	0.188403	1.01791	1.47289	10.8596	141.636	369.626	35.9975
0	42	0.192686	1.01874	1.48208	11.1096	139.775	368.232	35.9976
0	43	0.197856	1.01977	1.49319	11.4116	137.551	366.548	35.9976
0	44	0.202131	1.02064	1.50256	11.6616	135.698	365.131	35.9976
0	45	0.206403	1.02153	1.51193	11.9116	133.865	363.714	35.9976
0	46	0.21067	1.02244	1.52131	12.1616	132.051	362.299	35.9976
0	47	0.217373	1.02391	1.53608	12.5548	129.237	360.077	35.9977
0	48	0.221629	1.02487	1.54563	12.8048	127.444	358.642	35.9977
0	49	0.225882	1.02585	1.55519	13.0548	125.671	357.209	35.9977
0	50	0.230131	1.02684	1.56476	13.3048	123.917	355.778	35.9978
0	51	0.238493	1.02886	1.58366	13.7976	120.514	352.958	35.9978
0	52	0.242728	1.02991	1.59339	14.0476	118.793	351.511	35.9978
0	53	0.246959	1.03097	1.60313	14.2976	117.091	350.064	35.9979
0	54	0.251185	1.03206	1.61289	14.5476	115.407	348.619	35.9979
0	55	0.255406	1.03317	1.62266	14.7976	113.743	347.175	35.998
0	56	0.261346	1.03475	1.63646	15.1499	111.429	345.142	35.998
0	57	0.26252	1.03507	1.63922	15.2196	110.97	344.736	35.9981
