i	j	X/R*	R/R*	mach	theta(deg)	Pressure, psia
0	111	5.33916	2.23137	2.97247	7.61974	14.1865
0	112	5.47235	2.24889	2.99059	7.36771	13.8054
0	113	5.60673	2.26597	3.00846	7.11848	13.4403
0	114	5.74242	2.28262	3.02608	6.87225	13.0904
0	115	5.87916	2.29881	3.04333	6.63066	12.7569
0	116	6.01704	2.31455	3.06032	6.39237	12.4376
0	117	6.15634	2.32986	3.07713	6.15598	12.1299
0	118	6.29667	2.34471	3.09359	5.92432	11.8365
0	119	6.43814	2.3591	3.10977	5.69608	11.5555
0	120	6.58068	2.37304	3.12563	5.47216	11.287
0	121	6.72438	2.38653	3.14122	5.25147	11.0294
0	122	6.86922	2.39956	3.15654	5.03443	10.7826
0	123	7.01515	2.41214	3.17156	4.82121	10.5463
0	124	7.16222	2.42428	3.18633	4.61114	10.3193
0	125	7.31035	2.43595	3.20079	4.4052	10.1021
0	126	7.45955	2.44718	3.21497	4.20291	9.89392
0	127	7.60979	2.45796	3.22885	4.00457	9.69462
0	128	7.76106	2.46829	3.24243	3.81014	9.50375
0	129	7.91354	2.47819	3.25581	3.61827	9.31967
0	130	8.06698	2.48764	3.26887	3.43058	9.14365
0	131	8.22142	2.49665	3.28163	3.2469	8.97515
0	132	8.37655	2.50521	3.29394	3.06915	8.81568
0	133	8.53305	2.51336	3.30617	2.89241	8.66038
0	134	8.69055	2.52107	3.31811	2.71951	8.5116
0	135	8.84892	2.52836	3.32971	2.55102	8.36962
0	136	9.00827	2.53523	3.34104	2.38611	8.23343
0	137	9.16842	2.54168	3.352	2.22617	8.10399
0	138	9.32948	2.54772	3.36266	2.07017	7.98019
0	139	9.4916	2.55336	3.37311	1.91688	7.86077
0	140	9.6545	2.5586	3.38321	1.7683	7.74723
0	141	9.81821	2.56345	3.39296	1.62427	7.63919
0	142	9.9828	2.56791	3.40243	1.48406	7.5359
0	143	10.1482	2.572	3.41158	1.34814	7.43753
0	144	10.3143	2.57572	3.42036	1.21719	7.34443
0	145	10.4815	2.57908	3.42898	1.08849	7.25434
0	146	10.6493	2.58209	3.4372	0.965043	7.16942
0	147	10.8177	2.58475	3.44502	0.847179	7.08972
0	148	10.9869	2.58708	3.45251	0.733784	7.01424
0	149	11.1566	2.5891	3.45957	0.626284	6.94383
0	150	11.3271	2.59081	3.46626	0.524106	6.87793
0	151	11.4985	2.59222	3.4729	0.422554	6.81314
0	152	11.6702	2.59335	3.47884	0.330919	6.75573
0	153	11.8424	2.59422	3.48437	0.245216	6.70277
0	154	12.0153	2.59484	3.48941	0.16669	6.65489
0	155	12.1886	2.59523	3.49389	0.0965099	6.61265
0	156	12.3623	2.59543	3.49751	0.0393517	6.57866
0	157	12.5363	2.59548	3.5	0	6.55546
