i	j	x	r	mach	theta	press	temp
101	37	2.01495	0.0546664	2.37846	1.03632	35.3696	248.661
102	37	2.04191	0.042756	2.39741	0.809467	34.338	246.567
103	37	2.06886	0.0308394	2.41642	0.581903	33.334	244.485
104	37	2.11116	0.01211	2.44619	0.22896	31.8218	241.263
105	37	2.13847	0	2.46558	0	30.8748	239.19

0	38	0.171771	1.01486	1.43767	9.89083	148.958	374.988
1	38	0.176456	1.01168	1.43805	9.91815	148.878	374.93
2	38	0.186784	1.00469	1.4393	9.96676	148.613	374.739
3	38	0.197713	0.997325	1.44103	10.007	148.246	374.475
4	38	0.209255	0.989576	1.44326	10.0389	147.776	374.135
5	38	0.221414	0.98145	1.44598	10.0624	147.205	373.721
6	38	0.234193	0.972951	1.44918	10.0777	146.533	373.234
7	38	0.247592	0.964088	1.45285	10.0851	145.767	372.674
8	38	0.261604	0.954872	1.45697	10.085	144.909	372.046
9	38	0.276221	0.945316	1.46153	10.078	143.966	371.353
10	38	0.291432	0.935433	1.46649	10.0647	142.944	370.598
11	38	0.307225	0.925239	1.47183	10.0456	141.851	369.787
12	38	0.323584	0.914752	1.47753	10.0214	140.694	368.922
13	38	0.340494	0.903987	1.48355	9.99276	139.478	368.008
14	38	0.357938	0.892962	1.48988	9.96016	138.21	367.05
15	38	0.375898	0.881694	1.49648	9.92415	136.897	366.05
16	38	0.394359	0.8702	1.50334	9.88515	135.543	365.012
17	38	0.413302	0.858494	1.51045	9.84353	134.153	363.938
18	38	0.432713	0.846593	1.51779	9.79955	132.73	362.831
19	38	0.452574	0.834512	1.52534	9.75337	131.278	361.692
20	38	0.472872	0.822263	1.53311	9.70507	129.799	360.523
21	38	0.493592	0.80986	1.5411	9.65465	128.293	359.323
22	38	0.51472	0.797314	1.54929	9.60198	126.763	358.093
23	38	0.536246	0.784637	1.55771	9.54687	125.207	356.833
24	38	0.558156	0.771839	1.56635	9.48906	123.628	355.54
25	38	0.580442	0.75893	1.57522	9.42819	122.022	354.215
26	38	0.603092	0.745918	1.58435	9.36385	120.391	352.856
27	38	0.626098	0.732812	1.59373	9.29555	118.733	351.46
28	38	0.649451	0.719618	1.60339	9.22274	117.046	350.026
29	38	0.665556	0.710583	1.60974	9.18223	115.948	349.085
30	38	0.689295	0.697358	1.61982	9.10176	114.225	347.594
31	38	0.705728	0.688267	1.62651	9.05514	113.094	346.608
32	38	0.722245	0.679181	1.63333	9.0058	111.95	345.603
33	38	0.738207	0.67045	1.63892	8.98813	111.019	344.779
34	38	0.753634	0.662057	1.64385	8.98659	110.207	344.056
35	38	0.769033	0.653725	1.64896	8.98026	109.367	343.306
36	38	0.784513	0.645394	1.65434	8.96798	108.491	342.517
37	38	0.799868	0.637175	1.6596	8.95915	107.639	341.747
38	38	0.815458	0.628875	1.6653	8.94083	106.724	340.914
39	38	0.830984	0.620655	1.67093	8.92477	105.825	340.092
40	38	0.846615	0.612424	1.67678	8.9045	104.9	339.239
41	38	0.862463	0.604124	1.68302	8.87612	103.922	338.332
42	38	0.878021	0.59602	1.68884	8.85802	103.015	337.486
43	38	0.891038	0.589273	1.69445	8.82194	102.148	336.672
44	38	0.906883	0.581101	1.70079	8.79316	101.176	335.754
45	38	0.919756	0.574494	1.70617	8.76363	100.358	334.975
46	38	0.932993	0.56773	1.71213	8.72154	99.4586	334.115
47	38	0.946002	0.561112	1.71775	8.68756	98.6171	333.305
48	38	0.958885	0.554585	1.72328	8.65555	97.7952	332.509
49	38	0.972069	0.547936	1.72934	8.61177	96.9023	331.639
50	38	0.985256	0.541313	1.73548	8.56617	96.0052	330.759
51	38	0.997894	0.534993	1.74084	8.53831	95.2278	329.991
52	38	1.01084	0.528547	1.74681	8.49619	94.3678	329.137
53	38	1.0226	0.522713	1.75263	8.4471	93.5377	328.307
54	38	1.0342	0.516979	1.75829	8.40121	92.7361	327.501
55	38	1.04529	0.511516	1.76328	8.37013	92.0348	326.792
56	38	1.05779	0.505382	1.76921	8.32648	91.2068	325.949
57	38	1.06851	0.50014	1.77471	8.2775	90.4454	325.169
58	38	1.07972	0.494677	1.78046	8.22659	89.6559	324.356
59	38	1.09036	0.489509	1.78551	8.19039	88.9675	323.642
60	38	1.10028	0.484707	1.79034	8.15375	88.3149	322.962
61	38	1.11021	0.479911	1.79545	8.10918	87.6279	322.242
62	38	1.12001	0.475196	1.80062	8.06166	86.9379	321.515
63	38	1.12957	0.470604	1.80573	8.01368	86.2608	320.798
64	38	1.13882	0.466176	1.81066	7.96773	85.612	320.106
65	38	1.1473	0.462128	1.81469	7.94005	85.0853	319.543
66	38	1.15573	0.45811	1.81907	7.90214	84.5166	318.931
67	38	1.16373	0.454311	1.82343	7.86039	83.954	318.323
68	38	1.17138	0.45068	1.8277	7.81776	83.4062	317.728
69	38	1.17442	0.449242	1.83014	7.77913	83.0935	317.387
70	38	1.17635	0.448327	1.83213	7.74226	82.8409	317.111
71	38	1.18033	0.446445	1.83484	7.70557	82.4963	316.734
72	38	1.18608	0.443723	1.83776	7.68153	82.1272	316.328
73	38	1.19414	0.439921	1.84169	7.65272	81.6334	315.784
