i	j	x,in	r,in	mach	theta	pres,psi	temp,R	Density,slug/ft3	massflow
0	0	0	1	1.17779	0	212.216	414.892	0.0429112	35.7288
1	0	0.000115146	0.999815	1.17793	0.0142295	212.179	414.872	0.0429059	35.7157
2	0	0.000460843	0.99926	1.17833	0.0567608	212.069	414.81	0.0428899	35.6764
3	0	0.00103843	0.998335	1.17901	0.127212	211.884	414.707	0.0428632	35.6109
4	0	0.00185042	0.997042	1.17996	0.224996	211.625	414.562	0.0428257	35.5193
5	0	0.00290049	0.99538	1.18118	0.349323	211.289	414.374	0.0427772	35.4017
6	0	0.00419348	0.99335	1.1827	0.499205	210.875	414.142	0.0427174	35.2583
7	0	0.00573538	0.990955	1.18451	0.67346	210.382	413.865	0.042646	35.0891
8	0	0.00753329	0.988195	1.18662	0.870718	209.808	413.541	0.0425628	34.8943
9	0	0.00959544	0.985073	1.18904	1.08943	209.149	413.17	0.0424673	34.6742
10	0	0.0119311	0.981589	1.19179	1.32788	208.404	412.749	0.0423592	34.429
11	0	0.0145506	0.977747	1.19487	1.58418	207.572	412.278	0.0422383	34.1589
12	0	0.0174652	0.973549	1.19829	1.85631	206.649	411.753	0.0421041	33.8643
13	0	0.0206871	0.968997	1.20206	2.14213	205.636	411.175	0.0419565	33.5454
14	0	0.0242295	0.964094	1.20618	2.43935	204.53	410.543	0.0417953	33.2027
15	0	0.0281061	0.958842	1.21067	2.74562	203.333	409.854	0.0416203	32.8366
16	0	0.0323314	0.953247	1.21552	3.05853	202.043	409.11	0.0414316	32.4474
17	0	0.0369204	0.94731	1.22073	3.37561	200.663	408.31	0.0412293	32.0358
18	0	0.0418884	0.941036	1.2263	3.69437	199.195	407.454	0.0410135	31.6021
19	0	0.047251	0.934428	1.23222	4.01235	197.641	406.543	0.0407848	31.147
20	0	0.053024	0.927491	1.23849	4.32714	196.006	405.579	0.0405435	30.671
21	0	0.0592226	0.920228	1.24509	4.6364	194.295	404.564	0.0402903	30.1749
22	0	0.065862	0.912645	1.25201	4.93788	192.513	403.501	0.0400261	29.6594
23	0	0.0729568	0.904746	1.25921	5.22951	190.668	402.392	0.0397517	29.1252
24	0	0.0805207	0.896536	1.26669	5.50934	188.766	401.241	0.0394681	28.5732
25	0	0.0885663	0.888021	1.27441	5.77563	186.817	400.053	0.0391766	28.0043
26	0	0.0971052	0.879204	1.28234	6.02686	184.829	398.832	0.0388784	27.4193
27	0	0.106147	0.870093	1.29045	6.26173	182.811	397.583	0.0385747	26.8194
28	0	0.115701	0.860693	1.29871	6.47917	180.773	396.312	0.038267	26.2055
