100 73  1  1
    212.22    187.25    149.52    113.55     99.63     92.86     86.56     80.96     76.07     71.72
     67.81     64.29     61.08     58.14     55.42     52.92     50.65     48.62     46.77     45.04
     43.40     41.84     40.36     38.96     37.62     36.35     35.14     34.00     32.91     31.87
     30.86     29.90     28.99     28.13     27.35     26.62     25.91     25.24     24.57     23.93
     23.30     22.69     22.10     21.53     20.98     20.46     19.97     19.50     19.05     18.62
      8.58      8.43      8.28      8.14      8.01      7.88      7.76      7.65      7.54      7.44
      7.34      7.25      7.16      7.08      7.01      6.94      6.87      6.81      6.75      6.70
      6.65      6.61      6.58      6.56      6.56      6.56      6.56      6.56      6.56      6.56
      6.56      6.56      6.56      6.56      6.56      6.56      6.56      6.56      6.56      6.56
      6.56      6.56      6.56      6.56      6.56      6.56      6.56      6.56      6.56      6.56

    212.22    187.25    149.52    113.55     99.63     92.86     86.56     80.96     76.07     71.72
     67.81     64.29     61.08     58.14     55.42     52.92     50.65     48.62     46.77     45.04
     43.40     41.84     40.36     38.96     37.62     36.35     35.14     34.00     32.91     31.87
     30.86     29.90     28.99     28.13     27.35     26.62     25.91     25.24     24.57     23.93
     23.30     22.69     22.10     21.53     20.98     20.46     19.97     19.50     19.05     18.62
      8.58      8.43      8.28      8.14      8.01      7.88      7.76      7.65      7.54      7.44
      7.34      7.25      7.16      7.08      7.01      6.94      6.87      6.81      6.75      6.70
      6.65      6.61      6.58      6.56      6.56      6.56      6.56      6.56      6.56      6.56
      6.56      6.56      6.56      6.56      6.56      6.56      6.56      6.56      6.56      6.56
      6.56      6.56      6.56      6.56      6.56      6.56      6.56      6.56      6.56      6.56

    212.22    187.25    149.52    113.55     99.63     92.86     86.56     80.96     76.07     71.72
     67.81     64.29     61.08     58.14     55.42     52.92     50.65     48.62     46.77     45.04
     43.40     41.84     40.36     38.96     37.62     36.35     35.14     34.00     32.91     31.87
     30.86     29.90     28.99     28.13     27.35     26.62     25.91     25.24     24.57     23.93
     23.30     22.69     22.10     21.53     20.98     20.46     19.97     19.50     19.05     18.62
      8.58      8.43      8.28      8.14      8.01      7.88      7.76      7.65      7.54      7.44
      7.34      7.25      7.16      7.08      7.01      6.94      6.87      6.81      6.75      6.70
      6.65      6.61      6.58      6.56      6.56      6.56      6.56      6.56      6.56      6.56
      6.56      6.56      6.56      6.56      6.56      6.56      6.56      6.56      6.56      6.56
      6.56      6.56      6.56      6.56      6.56      6.56      6.56      6.56      6.56      6.56

    212.22    187.25    149.52    113.55     99.63     92.86     86.56     80.96     76.07     71.72
     67.81     64.29     61.08     58.14     55.42     52.92     50.65     48.62     46.77     45.04
     43.40     41.84     40.36     38.96     37.62     36.35     35.14     34.00     32.91     31.87
     30.86     29.90     28.99     28.13     27.35     26.62     25.91     25.24     24.57     23.93
     23.30     22.69     22.10     21.53     20.98     20.46     19.97     19.50     19.05     18.62
      8.58      8.43      8.28      8.14      8.01      7.88      7.76      7.65      7.54      7.44
      7.34      7.25      7.16      7.08      7.01      6.94      6.87      6.81      6.75      6.70
      6.65      6.61      6.58      6.56      6.56      6.56      6.56      6.56      6.56      6.56
      6.56      6.56      6.56      6.56      6.56      6.56      6.56      6.56      6.56      6.56
      6.56      6.56      6.56      6.56      6.56      6.56      6.56      6.56      6.56      6.56

    212.22    187.25    149.52    113.55     99.63     92.86     86.56     80.96     76.07     71.72
     67.81     64.29     61.08     58.14     55.42     52.92     50.65     48.62     46.77     45.04
     43.40     41.84     40.36     38.96     37.62     36.35     35.14     34.00     32.91     31.87
     30.86     29.90     28.99     28.13     27.35     26.62     25.91     25.24     24.57     23.93
     23.30     22.69     22.10     21.53     20.98     20.46     19.97     19.50     19.05     18.62
      8.58      8.43      8.28      8.14      8.01      7.88      7.76      7.65      7.54      7.44
      7.34      7.25      7.16      7.08      7.01      6.94      6.87      6.81      6.75      6.70
      6.65      6.61      6.58      6.56      6.56      6.56      6.56      6.56      6.56      6.56
      6.56      6.56      6.56      6.56      6.56      6.56      6.56      6.56      6.56      6.56
      6.56      6.56      6.56      6.56      6.56      6.56      6.56      6.56      6.56      6.56

    212.22    187.25    149.52    113.55     99.63     92.86     86.56     80.96     76.07     71.72
     67.81     64.29     61.08     58.14     55.42     52.92     50.65     48.62     46.77     45.04
     43.40     41.84     40.36     38.96     37.62     36.35     35.14     34.00     32.91     31.87
     30.86     29.90     28.99     28.13     27.35     26.62     25.91     25.24     24.57     23.93
     23.30     22.69     22.10     21.53     20.98     20.46     19.97     19.50     19.05     18.62
      8.58      8.43      8.28      8.14      8.01      7.88      7.76      7.65      7.54      7.44
      7.34      7.25      7.16      7.08      7.01      6.94      6.87      6.81      6.75      6.70
      6.65      6.61      6.58      6.56      6.56      6.56      6.56      6.56      6.56      6.56
      6.56      6.56      6.56      6.56      6.56      6.56      6.56      6.56      6.56      6.56
      6.56      6.56      6.56      6.56      6.56      6.56      6.56      6.56      6.56      6.56

    212.22    187.25    149.52    113.55     99.63     92.86     86.56     80.96     76.07     71.72
     67.81     64.29     61.08     58.14     55.42     52.92     50.65     48.62     46.77     45.04
     43.40     41.84     40.36     38.96     37.62     36.35     35.14     34.00     32.91     31.87
     30.86     29.90     28.99     28.13     27.35     26.62     25.91     25.24     24.57     23.93
     23.30     22.69     22.10     21.53     20.98     20.46     19.97     19.50     19.05     18.62
      8.58      8.43      8.28      8.14      8.01      7.88      7.76      7.65      7.54      7.44
      7.34      7.25      7.16      7.08      7.01      6.94      6.87      6.81      6.75      6.70
      6.65      6.61      6.58      6.56      6.56      6.56      6.56      6.56      6.56      6.56
      6.56      6.56      6.56      6.56      6.56      6.56      6.56      6.56      6.56      6.56
      6.56      6.56      6.56      6.56      6.56      6.56      6.56      6.56      6.56      6.56

    212.22    187.25    149.52    113.55     99.63     92.86     86.56     80.96     76.07     71.72
     67.81     64.29     61.08     58.14     55.42     52.92     50.65     48.62     46.77     45.04
     43.40     41.84     40.36     38.96     37.62     36.35     35.14     34.00     32.91     31.87
     30.86     29.90     28.99     28.13     27.35     26.62     25.91     25.24     24.57     23.93
     23.30     22.69     22.10     21.53     20.98     20.46     19.97     19.50     19.05     18.62
      8.58      8.43      8.28      8.14      8.01      7.88      7.76      7.65      7.54      7.44
      7.34      7.25      7.16      7.08      7.01      6.94      6.87      6.81      6.75      6.70
      6.65      6.61      6.58      6.56      6.56      6.56      6.56      6.56      6.56      6.56
      6.56      6.56      6.56      6.56      6.56      6.56      6.56      6.56      6.56      6.56
      6.56      6.56      6.56      6.56      6.56      6.56      6.56      6.56      6.56      6.56

    212.22    187.25    149.52    113.55     99.63     92.86     86.56     80.96     76.07     71.72
     67.81     64.29     61.08     58.14     55.42     52.92     50.65     48.62     46.77     45.04
     43.40     41.84     40.36     38.96     37.62     36.35     35.14     34.00     32.91     31.87
     30.86     29.90     28.99     28.13     27.35     26.62     25.91     25.24     24.57     23.93
     23.30     22.69     22.10     21.53     20.98     20.46     19.97     19.50     19.05     18.62
      8.58      8.43      8.28      8.14      8.01      7.88      7.76      7.65      7.54      7.44
      7.34      7.25      7.16      7.08      7.01      6.94      6.87      6.81      6.75      6.70
      6.65      6.61      6.58      6.56      6.56      6.56      6.56      6.56      6.56      6.56
      6.56      6.56      6.56      6.56      6.56      6.56      6.56      6.56      6.56      6.56
      6.56      6.56      6.56      6.56      6.56      6.56      6.56      6.56      6.56      6.56

    212.22    187.25    149.52    113.55     99.63     92.86     86.56     80.96     76.07     71.72
     67.81     64.29     61.08     58.14     55.42     52.92     50.65     48.62     46.77     45.04
     43.40     41.84     40.36     38.96     37.62     36.35     35.14     34.00     32.91     31.87
     30.86     29.90     28.99     28.13     27.35     26.62     25.91     25.24     24.57     23.93
     23.30     22.69     22.10     21.53     20.98     20.46     19.97     19.50     19.05     18.62
      8.58      8.43      8.28      8.14      8.01      7.88      7.76      7.65      7.54      7.44
      7.34      7.25      7.16      7.08      7.01      6.94      6.87      6.81      6.75      6.70
      6.65      6.61      6.58      6.56      6.56      6.56      6.56      6.56      6.56      6.56
      6.56      6.56      6.56      6.56      6.56      6.56      6.56      6.56      6.56      6.56
      6.56      6.56      6.56      6.56      6.56      6.56      6.56      6.56      6.56      6.56

    212.22    187.25    149.52    113.55     99.63     92.86     86.56     80.96     76.07     71.72
     67.81     64.29     61.08     58.14     55.42     52.92     50.65     48.62     46.77     45.04
     43.40     41.84     40.36     38.96     37.62     36.35     35.14     34.00     32.91     31.87
     30.86     29.90     28.99     28.13     27.35     26.62     25.91     25.24     24.57     23.93
     23.30     22.69     22.10     21.53     20.98     20.46     19.97     19.50     19.05     18.62
      8.58      8.43      8.28      8.14      8.01      7.88      7.76      7.65      7.54      7.44
      7.34      7.25      7.16      7.08      7.01      6.94      6.87      6.81      6.75      6.70
      6.65      6.61      6.58      6.56      6.56      6.56      6.56      6.56      6.56      6.56
      6.56      6.56      6.56      6.56      6.56      6.56      6.56      6.56      6.56      6.56
      6.56      6.56      6.56      6.56      6.56      6.56      6.56      6.56      6.56      6.56

    212.22    187.25    149.52    113.55     99.63     92.86     86.56     80.96     76.07     71.72
     67.81     64.29     61.08     58.14     55.42     52.92     50.65     48.62     46.77     45.04
     43.40     41.84     40.36     38.96     37.62     36.35     35.14     34.00     32.91     31.87
     30.86     29.90     28.99     28.13     27.35     26.62     25.91     25.24     24.57     23.93
     23.30     22.69     22.10     21.53     20.98     20.46     19.97     19.50     19.05     18.62
