X 	 Area 	 Surface Area 	 Pressure Force
0.085281	0.808014	0.529673	4.5166
0.170562	0.876725	1.06714	16.084
0.255843	0.994777	1.62076	31.6058
0.341124	1.15026	2.19439	48.1749
0.426405	1.3178	2.78389	64.2985
0.511686	1.4937	3.38875	80.0749
0.596967	1.67614	4.00872	95.3536
0.682248	1.86447	4.64375	110.139
0.767529	2.05775	5.29364	124.419
0.85281	2.25553	5.95828	138.216
0.93809	2.45731	6.63752	151.542
1.02337	2.66262	7.33118	164.411
1.10865	2.87105	8.03906	176.834
1.19393	3.08217	8.76097	188.82
1.27921	3.29579	9.49675	200.391
1.3645	3.51175	10.2462	211.575
1.44978	3.72975	11.0093	222.396
1.53506	3.94981	11.7857	232.89
1.62034	4.17182	12.5754	243.08
1.70562	4.39576	13.3783	252.981
1.7909	4.62124	14.1941	262.59
1.87618	4.84789	15.0227	271.905
1.96146	5.0754	15.8637	280.928
2.04674	5.3035	16.717	289.661
2.13202	5.53197	17.5825	298.111
2.2173	5.76059	18.4597	306.283
2.30259	5.98914	19.3487	314.184
2.38787	6.21741	20.249	321.82
2.47315	6.44518	21.1606	329.198
2.55843	6.67227	22.0832	336.321
2.64371	6.89854	23.0167	343.194
2.72899	7.12386	23.9607	349.828
2.81427	7.34812	24.9152	356.233
2.89955	7.57108	25.8798	362.418
2.98483	7.79286	26.8546	368.402
3.07011	8.01348	27.8392	374.197
3.1554	8.23288	28.8337	379.808
3.24068	8.45125	29.8377	385.246
3.32596	8.66797	30.8512	390.501
3.41124	8.88283	31.8738	395.575
3.49652	9.09561	32.9053	400.469
3.5818	9.30607	33.9456	405.182
3.66708	9.51427	34.9945	409.724
3.75236	9.72015	36.0518	414.099
3.83764	9.92365	37.1173	418.315
3.92292	10.1247	38.1909	422.378
4.0082	10.3233	39.2724	426.297
4.09349	10.5195	40.3616	430.078
4.17877	10.7132	41.4585	433.727
8.61338	17.2984	104.551	522.19
8.78394	17.4244	107.218	523.262
8.9545	17.5424	109.893	524.247
9.12506	17.6525	112.574	525.151
9.29562	17.7549	115.263	525.978
9.46619	17.8499	117.958	526.732
9.63675	17.9375	120.659	527.418
9.80731	18.0182	123.366	528.039
9.97787	18.092	126.077	528.599
10.1484	18.1591	128.793	529.102
10.319	18.2198	131.513	529.55
10.4896	18.2742	134.236	529.947
10.6601	18.3227	136.963	530.297
10.8307	18.3654	139.693	530.601
11.0012	18.4027	142.425	530.864
11.1718	18.4347	145.16	531.087
11.3424	18.4616	147.896	531.273
11.5129	18.4839	150.634	531.425
11.6835	18.5015	153.374	531.545
11.8541	18.5149	156.114	531.635
12.0246	18.5243	158.855	531.698
12.1952	18.5304	161.596	531.738
12.3657	18.5336	164.338	531.759
12.5363	18.5343	167.08	531.764
12.5363	18.5343	167.08	531.764
12.5363	18.5343	167.08	531.764
12.5363	18.5343	167.08	531.764
12.5363	18.5343	167.08	531.764
12.5363	18.5343	167.08	531.764
12.5363	18.5343	167.08	531.764
12.5363	18.5343	167.08	531.764
12.5363	18.5343	167.08	531.764
12.5363	18.5343	167.08	531.764
12.5363	18.5343	167.08	531.764
12.5363	18.5343	167.08	531.764
12.5363	18.5343	167.08	531.764
12.5363	18.5343	167.08	531.764
12.5363	18.5343	167.08	531.764
12.5363	18.5343	167.08	531.764
12.5363	18.5343	167.08	531.764
12.5363	18.5343	167.08	531.764
12.5363	18.5343	167.08	531.764
12.5363	18.5343	167.08	531.764
12.5363	18.5343	167.08	531.764
12.5363	18.5343	167.08	531.764
12.5363	18.5343	167.08	531.764
12.5363	18.5343	167.08	531.764
12.5363	18.5343	167.08	531.764
12.5363	18.5343	167.08	531.764
12.5363	18.5343	167.08	531.764
