Xc (in) 	 Yc (in) 	 Tc (deg) 		 Xb (in)	Yb (in)	Tb (deg)
0	1	0		0	-1	0
0.085281	1.00365	2.44929		0.085281	-1.00365	-2.44929
0.170562	1.01465	7.35179		0.170562	-1.01465	-7.35179
0.255843	1.03328	12.3235		0.255843	-1.03328	-12.3235
0.341124	1.05732	15.7408		0.341124	-1.05732	-15.7408
0.426405	1.08262	16.5271		0.426405	-1.08262	-16.5271
0.511686	1.10857	16.9208		0.511686	-1.10857	-16.9208
0.596967	1.13485	17.1295		0.596967	-1.13485	-17.1295
0.682248	1.16136	17.2673		0.682248	-1.16136	-17.2673
0.767529	1.18795	17.3171		0.767529	-1.18795	-17.3171
0.85281	1.21456	17.3276		0.85281	-1.21456	-17.3276
0.93809	1.24112	17.297		0.93809	-1.24112	-17.297
1.02337	1.26757	17.2318		1.02337	-1.26757	-17.2318
1.10865	1.29387	17.1394		1.10865	-1.29387	-17.1394
1.19393	1.31997	17.0197		1.19393	-1.31997	-17.0197
1.27921	1.34587	16.8931		1.27921	-1.34587	-16.8931
1.3645	1.37156	16.7616		1.3645	-1.37156	-16.7616
1.44978	1.39701	16.6165		1.44978	-1.39701	-16.6165
1.53506	1.42223	16.4789		1.53506	-1.42223	-16.4789
1.62034	1.44724	16.3427		1.62034	-1.44724	-16.3427
1.70562	1.47203	16.2101		1.70562	-1.47203	-16.2101
1.7909	1.49658	16.0591		1.7909	-1.49658	-16.0591
1.87618	1.52086	15.8901		1.87618	-1.52086	-15.8901
1.96146	1.54484	15.7086		1.96146	-1.54484	-15.7086
2.04674	1.56852	15.5179		2.04674	-1.56852	-15.5179
2.13202	1.59189	15.3218		2.13202	-1.59189	-15.3218
2.2173	1.61493	15.1195		2.2173	-1.61493	-15.1195
2.30259	1.63764	14.9123		2.30259	-1.63764	-14.9123
2.38787	1.66001	14.6993		2.38787	-1.66001	-14.6993
2.47315	1.68204	14.4826		2.47315	-1.68204	-14.4826
2.55843	1.70372	14.2623		2.55843	-1.70372	-14.2623
2.64371	1.72505	14.0412		2.64371	-1.72505	-14.0412
2.72899	1.74603	13.8212		2.72899	-1.74603	-13.8212
2.81427	1.76666	13.602		2.81427	-1.76666	-13.602
2.89955	1.78694	13.3751		2.89955	-1.78694	-13.3751
2.98483	1.80688	13.1636		2.98483	-1.80688	-13.1636
3.07011	1.82651	12.9594		3.07011	-1.82651	-12.9594
3.1554	1.84582	12.7579		3.1554	-1.84582	-12.7579
3.24068	1.86484	12.5731		3.24068	-1.86484	-12.5731
3.32596	1.88353	12.3595		3.32596	-1.88353	-12.3595
3.41124	1.90187	12.1398		3.41124	-1.90187	-12.1398
3.49652	1.91987	11.9151		3.49652	-1.91987	-11.9151
3.5818	1.9375	11.6825		3.5818	-1.9375	-11.6825
3.66708	1.95479	11.4598		3.66708	-1.95479	-11.4598
3.75236	1.97174	11.2391		3.75236	-1.97174	-11.2391
3.83764	1.98834	11.0209		3.83764	-1.98834	-11.0209
3.92292	2.00462	10.8028		3.92292	-2.00462	-10.8028
4.0082	2.02056	10.5919		4.0082	-2.02056	-10.5919
4.09349	2.03619	10.3849		4.09349	-2.03619	-10.3849
4.17877	2.05151	10.1815		4.17877	-2.05151	-10.1815
8.61338	2.51735	5.99674		8.61338	-2.51735	-5.99674
8.78394	2.52543	2.71084		8.78394	-2.52543	-2.71084
8.9545	2.53296	2.53024		8.9545	-2.53296	-2.53024
9.12506	2.53998	2.35513		9.12506	-2.53998	-2.35513
9.29562	2.54649	2.18542		9.29562	-2.54649	-2.18542
9.46619	2.55251	2.0211		9.46619	-2.55251	-2.0211
9.63675	2.55805	1.86227		9.63675	-2.55805	-1.86227
9.80731	2.56314	1.70883		9.80731	-2.56314	-1.70883
9.97787	2.56779	1.56099		9.97787	-2.56779	-1.56099
10.1484	2.57201	1.41779		10.1484	-2.57201	-1.41779
10.319	2.57582	1.27968		10.319	-2.57582	-1.27968
10.4896	2.57923	1.14657		10.4896	-2.57923	-1.14657
10.6601	2.58227	1.01944		10.6601	-2.58227	-1.01944
10.8307	2.58494	0.897893		10.8307	-2.58494	-0.897893
11.0012	2.58727	0.782357		11.0012	-2.58727	-0.782357
11.1718	2.58927	0.670782		11.1718	-2.58927	-0.670782
11.3424	2.59095	0.564747		11.3424	-2.59095	-0.564747
11.5129	2.59233	0.465594		11.5129	-2.59233	-0.465594
11.6835	2.59343	0.369595		11.6835	-2.59343	-0.369595
11.8541	2.59427	0.280082		11.8541	-2.59427	-0.280082
12.0246	2.59486	0.19767		12.0246	-2.59486	-0.19767
12.1952	2.59523	0.126951		12.1952	-2.59523	-0.126951
12.3657	2.59543	0.0661135		12.3657	-2.59543	-0.0661135
12.5363	2.59548	0.0161936		12.5363	-2.59548	-0.0161936
12.5363	2.59548	0		12.5363	-2.59548	0
12.5363	2.59548	0		12.5363	-2.59548	0
12.5363	2.59548	0		12.5363	-2.59548	0
12.5363	2.59548	0		12.5363	-2.59548	0
12.5363	2.59548	0		12.5363	-2.59548	0
12.5363	2.59548	0		12.5363	-2.59548	0
12.5363	2.59548	0		12.5363	-2.59548	0
12.5363	2.59548	0		12.5363	-2.59548	0
12.5363	2.59548	0		12.5363	-2.59548	0
12.5363	2.59548	0		12.5363	-2.59548	0
12.5363	2.59548	0		12.5363	-2.59548	0
12.5363	2.59548	0		12.5363	-2.59548	0
12.5363	2.59548	0		12.5363	-2.59548	0
12.5363	2.59548	0		12.5363	-2.59548	0
12.5363	2.59548	0		12.5363	-2.59548	0
12.5363	2.59548	0		12.5363	-2.59548	0
12.5363	2.59548	0		12.5363	-2.59548	0
12.5363	2.59548	0		12.5363	-2.59548	0
12.5363	2.59548	0		12.5363	-2.59548	0
12.5363	2.59548	0		12.5363	-2.59548	0
12.5363	2.59548	0		12.5363	-2.59548	0
12.5363	2.59548	0		12.5363	-2.59548	0
12.5363	2.59548	0		12.5363	-2.59548	0
12.5363	2.59548	0		12.5363	-2.59548	0
12.5363	2.59548	0		12.5363	-2.59548	0
12.5363	2.59548	0		12.5363	-2.59548	0
