i	j	x,in	r,in	mach	theta	pres,psi	temp,R	Density,slug/ft3	massflow
18	1	0.0426167	0.925879	1.11822	1.40331	25.1812	423.972	0.00498272	3.39505
19	1	0.0473446	0.916924	1.11435	1.49642	25.3033	424.558	0.00499998	3.32904
20	1	0.0523445	0.907334	1.11078	1.58478	25.4165	425.1	0.00501594	3.25896
21	1	0.0576203	0.897094	1.10756	1.6676	25.5188	425.588	0.00503035	3.18487
22	1	0.063176	0.886196	1.10474	1.74413	25.6083	426.014	0.00504294	3.10686
23	1	0.0690152	0.874636	1.10239	1.81368	25.6832	426.37	0.00505348	3.02508
24	1	0.0751417	0.862418	1.10055	1.87561	25.7419	426.648	0.00506173	2.93975
25	1	0.0815592	0.849553	1.09926	1.92936	25.783	426.842	0.0050675	2.85114
26	1	0.0882712	0.836061	1.09857	1.97445	25.8053	426.948	0.00507062	2.7596
27	1	0.095281	0.821967	1.09848	2.01047	25.8079	426.96	0.00507099	2.6655
28	1	0.102592	0.807304	1.09903	2.03714	25.7906	426.878	0.00506856	2.56929
29	1	0.110208	0.79211	1.10019	2.05431	25.7533	426.702	0.00506333	2.4714
30	1	0.118131	0.776425	1.10196	2.06198	25.6968	426.434	0.00505539	2.37229
31	1	0.126365	0.760289	1.10432	2.06028	25.6218	426.078	0.00504485	2.27241
32	1	0.134912	0.743742	1.10721	2.0495	25.5299	425.641	0.00503191	2.1722
33	1	0.143773	0.726822	1.11059	2.03001	25.4224	425.128	0.00501677	2.07205
34	1	0.152951	0.709565	1.11442	2.00231	25.3012	424.548	0.00499968	1.97233
35	1	0.162445	0.692002	1.11863	1.96694	25.1681	423.909	0.00498088	1.87336
36	1	0.172253	0.674163	1.12319	1.92447	25.0248	423.218	0.0049606	1.77546
37	1	0.182374	0.656072	1.12803	1.87548	24.8729	422.482	0.00493908	1.67888
38	1	0.192803	0.637755	1.13311	1.8205	24.714	421.709	0.00491652	1.58388
39	1	0.203536	0.619232	1.1384	1.76001	24.5494	420.905	0.00489311	1.49066
40	1	0.214565	0.600525	1.14386	1.69443	24.3802	420.074	0.004869	1.39943
41	1	0.225885	0.581651	1.14945	1.62407	24.2074	419.221	0.00484432	1.31036
42	1	0.237485	0.562631	1.15517	1.54912	24.0317	418.349	0.00481918	1.22363
43	1	0.249357	0.543482	1.16099	1.46967	23.8536	417.462	0.00479364	1.13937
44	1	0.261488	0.524221	1.1669	1.38565	23.6736	416.559	0.00476777	1.05773
45	1	0.273868	0.504867	1.17289	1.29686	23.4918	415.642	0.00474159	0.978822
46	1	0.286483	0.485437	1.17897	1.20295	23.3083	414.712	0.0047151	0.902768
47	1	0.29932	0.46595	1.18515	1.10339	23.1229	413.767	0.00468829	0.829667
48	1	0.312364	0.446424	1.19142	0.99749	22.9355	412.806	0.00466112	0.759608
49	1	0.3256	0.426879	1.1978	0.884362	22.7458	411.828	0.00463354	0.69267
50	1	0.339011	0.407333	1.20431	0.762906	22.5533	410.829	0.0046055	0.62892
51	1	0.35258	0.387807	1.21097	0.63178	22.3576	409.807	0.00457692	0.568416
52	1	0.366289	0.36832	1.2178	0.489346	22.158	408.758	0.00454769	0.511201
53	1	0.375879	0.354818	1.22189	0.402648	22.039	408.13	0.00453024	0.4734
54	1	0.389674	0.335571	1.229	0.239676	21.8335	407.039	0.00450003	0.42212
55	1	0.399351	0.322189	1.23331	0.136708	21.7093	406.376	0.00448173	0.38827
56	1	0.40902	0.308902	1.23772	0.0263128	21.5827	405.698	0.00446304	0.356111
57	1	0.418843	0.295502	1.24169	0	21.4694	405.088	0.00444629	0.325118
58	1	0.428607	0.282319	1.24713	0	21.3146	404.251	0.00442337	0.29602
59	1	0.438302	0.269408	1.25398	0	21.1207	403.197	0.00439459	0.268865
60	1	0.447987	0.256713	1.26167	0	20.9046	402.014	0.00436243	0.24347
61	1	0.45769	0.244208	1.26988	0	20.6754	400.75	0.00432821	0.219719
62	1	0.467426	0.231878	1.27847	0	20.4377	399.428	0.00429261	0.197529
63	1	0.4772	0.219716	1.28734	0	20.1942	398.062	0.00425601	0.176836
64	1	0.487012	0.207718	1.29645	0	19.9462	396.66	0.00421862	0.157581
65	1	0.496863	0.195884	1.30577	0	19.6948	395.225	0.00418057	0.139712
66	1	0.506749	0.184212	1.31528	0	19.4407	393.761	0.00414196	0.123177
67	1	0.514644	0.17504	1.32366	0	19.219	392.473	0.00410817	0.110941
68	1	0.524603	0.163647	1.3328	0	18.9789	391.066	0.00407145	0.0966663
69	1	0.532573	0.154665	1.34108	0	18.7635	389.792	0.00403838	0.0861281
70	1	0.540583	0.14576	1.34895	0	18.5604	388.582	0.00400711	0.0763022
71	1	0.548609	0.136951	1.35663	0	18.3638	387.402	0.00397675	0.0671865
72	1	0.556613	0.128276	1.36472	0	18.1584	386.159	0.00394493	0.0587957
73	1	0.564627	0.119698	1.37246	0	17.9635	384.97	0.00391463	0.0510666
74	1	0.572632	0.111233	1.38004	0	17.7744	383.808	0.00388516	0.0439877
75	1	0.580613	0.102888	1.38751	0	17.5892	382.661	0.0038562	0.0375412
76	1	0.588559	0.0946718	1.39493	0	17.407	381.524	0.00382763	0.031706
77	1	0.595566	0.087503	1.40165	0	17.2432	380.495	0.00380187	0.0270271
78	1	0.602537	0.0804376	1.40799	0	17.0898	379.524	0.00377767	0.0227898
79	1	0.609454	0.0734895	1.4141	0	16.9427	378.589	0.00375443	0.0189824
80	1	0.617147	0.0658307	1.42068	0	16.7856	377.582	0.00372952	0.0151959
81	1	0.623494	0.0595667	1.42653	0	16.6469	376.688	0.00370748	0.0124174
82	1	0.630168	0.0530313	1.43227	0	16.5117	375.811	0.00368595	0.00982211
83	1	0.636736	0.0466511	1.4379	0	16.3799	374.952	0.00366492	0.00758572
84	1	0.642797	0.0408055	1.44314	0	16.2583	374.154	0.00364545	0.00579315
85	1	0.648734	0.0351178	1.44811	0	16.1433	373.396	0.00362701	0.00428307
86	1	0.654531	0.0296002	1.45289	0	16.0333	372.667	0.00360934	0.00303763
87	1	0.660172	0.024265	1.45752	0	15.9275	371.963	0.00359232	0.00203782
88	1	0.665638	0.0191246	1.46199	0	15.8257	371.282	0.0035759	0.00126377
89	1	0.670913	0.0141924	1.46632	0	15.7278	370.625	0.00356009	0.000694853
90	1	0.675977	0.00948315	1.47049	0	15.6339	369.991	0.00354489	0.000309741
91	1	0.680662	0.00514822	1.47438	0	15.5467	369.4	0.00353076	9.11491e-05
92	1	0.685099	0.00106219	1.47804	0	15.465	368.845	0.0035175	3.87634e-06
93	1	0.686255	0	1.47804	0	15.465	368.845	0.0035175	0

0	2	0.000920735	1	1.17816	0.0527543	23.3326	414.836	0.00471862	3.96082
1	2	0.00149684	0.999076	1.17702	0.0799959	23.3672	415.011	0.00472361	3.95361
2	2	0.00230366	0.997779	1.17543	0.117663	23.4151	415.254	0.00473053	3.9435
3	2	0.00334166	0.996102	1.17342	0.165308	23.4759	415.562	0.0047393	3.93045
4	2	0.00461152	0.994042	1.171	0.222371	23.5491	415.932	0.00474985	3.91441
5	2	0.00611415	0.991589	1.16821	0.28819	23.6338	416.359	0.00476205	3.89535
6	2	0.00785071	0.988736	1.16506	0.362006	23.7293	416.839	0.00477579	3.87319
7	2	0.00982264	0.985471	1.16161	0.442976	23.8347	417.367	0.00479092	3.84788
8	2	0.0120316	0.981782	1.15787	0.530185	23.9488	417.937	0.0048073	3.81933
9	2	0.0144797	0.977655	1.1539	0.622659	24.0706	418.543	0.00482474	3.78747
10	2	0.0171693	0.973075	1.14974	0.719375	24.1986	419.178	0.00484306	3.7522
11	2	0.0201028	0.968024	1.14543	0.819281	24.3316	419.834	0.00486205	3.71342
12	2	0.0232833	0.962484	1.14102	0.921311	24.468	420.506	0.00488151	3.67104
13	2	0.0267139	0.956434	1.13657	1.02439	24.6063	421.183	0.0049012	3.62496
14	2	0.0303981	0.949853	1.13213	1.12747	24.7447	421.859	0.00492088	3.57509
15	2	0.0343396	0.942721	1.12775	1.22951	24.8817	422.525	0.00494032	3.52132
16	2	0.0385423	0.935015	1.12349	1.3295	25.0153	423.172	0.00495925	3.4636
17	2	0.04301	0.926713	1.11941	1.42651	25.1437	423.791	0.00497742	3.40185
18	2	0.047747	0.917797	1.11557	1.51962	25.265	424.374	0.00499456	3.33606
19	2	0.0527573	0.908249	1.11201	1.60798	25.3773	424.913	0.00501041	3.26621
20	2	0.058045	0.898055	1.10882	1.69079	25.4788	425.397	0.00502471	3.19237
21	2	0.0636143	0.887206	1.10602	1.76731	25.5675	425.82	0.0050372	3.11462
22	2	0.0694691	0.875698	1.10369	1.83684	25.6417	426.173	0.00504764	3.0331
23	2	0.0756132	0.863536	1.10187	1.89875	25.6997	426.448	0.0050558	2.94805
24	2	0.0820504	0.850729	1.1006	1.95248	25.7402	426.64	0.00506148	2.85971
25	2	0.0887842	0.837296	1.09992	1.99754	25.7619	426.743	0.00506454	2.76844
26	2	0.0958182	0.823264	1.09985	2.03354	25.7642	426.753	0.00506485	2.6746
27	2	0.103156	0.808663	1.1004	2.06019	25.7466	426.67	0.00506238	2.57862
28	2	0.1108	0.79353	1.10158	2.07735	25.7092	426.493	0.00505713	2.48094
29	2	0.118754	0.777905	1.10335	2.08502	25.6526	426.224	0.00504917	2.38202
30	2	0.127021	0.761827	1.1057	2.08334	25.5777	425.868	0.00503864	2.2823
31	2	0.135603	0.745336	1.10859	2.07258	25.4859	425.431	0.00502571	2.18221
32	2	0.144501	0.728471	1.11197	2.05314	25.3787	424.919	0.0050106	2.08215
33	2	0.153716	0.711264	1.11579	2.0255	25.2578	424.34	0.00499354	1.98248
34	2	0.163249	0.69375	1.12	1.99022	25.125	423.701	0.00497478	1.88353
35	2	0.173097	0.675956	1.12455	1.94786	24.982	423.011	0.00495454	1.78562
36	2	0.183259	0.657908	1.12939	1.899	24.8305	422.276	0.00493306	1.689
37	2	0.19373	0.639632	1.13446	1.84418	24.672	421.504	0.00491054	1.59393
38	2	0.204505	0.621148	1.13974	1.78387	24.5077	420.701	0.00488717	1.50062
39	2	0.215577	0.602477	1.14519	1.7185	24.3389	419.87	0.0048631	1.40928
40	2	0.22694	0.583638	1.15079	1.64838	24.1664	419.018	0.00483845	1.32007
41	2	0.238583	0.564651	1.1565	1.5737	23.991	418.147	0.00481335	1.23318
42	2	0.250499	0.545533	1.16231	1.49455	23.8132	417.259	0.00478784	1.14875
43	2	0.262674	0.526302	1.16822	1.41088	23.6335	416.357	0.004762	1.06692
44	2	0.275098	0.506977	1.17421	1.32248	23.4519	415.441	0.00473584	0.987807
45	2	0.287758	0.487574	1.18029	1.229	23.2686	414.51	0.00470937	0.911534
46	2	0.30064	0.468113	1.18646	1.12994	23.0835	413.565	0.00468258	0.8382
47	2	0.313729	0.448612	1.19274	1.0246	22.8963	412.604	0.00465542	0.767895
48	2	0.327011	0.42909	1.19912	0.912113	22.7067	411.625	0.00462786	0.7007
49	2	0.340469	0.409566	1.20563	0.791393	22.5144	410.626	0.00459983	0.636684
50	2	0.354085	0.39006	1.2123	0.661117	22.3189	409.604	0.00457125	0.575902
51	2	0.367842	0.370593	1.21913	0.519675	22.1194	408.555	0.00454204	0.518402
52	2	0.377463	0.357106	1.22322	0.433696	22.0005	407.926	0.00452458	0.480405
53	2	0.391307	0.337875	1.23033	0.272008	21.7951	406.835	0.00449438	0.428828
54	2	0.401017	0.324506	1.23464	0.17	21.671	406.171	0.00447607	0.394774
55	2	0.410719	0.311232	1.23906	0.0606846	21.5443	405.492	0.00445737	0.362409
56	2	0.420561	0.297835	1.24157	0	21.4727	405.106	0.00444678	0.331184
57	2	0.430316	0.28462	1.24435	0	21.3934	404.678	0.00443505	0.301766
58	2	0.439981	0.271639	1.24918	0	21.2564	403.936	0.00441474	0.274206
59	2	0.449621	0.258852	1.25544	0	21.0795	402.972	0.00438846	0.248362
60	2	0.459269	0.24624	1.26269	0	20.8761	401.857	0.00435817	0.224151
61	2	0.468942	0.233796	1.27061	0	20.6553	400.638	0.0043252	0.201509
62	2	0.478649	0.221518	1.279	0	20.423	399.346	0.0042904	0.180383
63	2	0.488392	0.209405	1.28776	0	20.1828	397.998	0.00425429	0.16072
64	2	0.498172	0.197457	1.2968	0	19.9369	396.607	0.00421721	0.142469
65	2	0.507986	0.185673	1.30607	0	19.6869	395.179	0.00417936	0.125581
66	2	0.515827	0.176415	1.31489	0	19.4512	393.822	0.00414357	0.113087
67	2	0.525718	0.164923	1.32387	0	19.2134	392.44	0.00410731	0.0985202
68	2	0.533636	0.155864	1.3325	0	18.9869	391.113	0.00407267	0.0877689
69	2	0.541596	0.146887	1.34074	0	18.7722	389.844	0.00403973	0.0777513
70	2	0.549575	0.138012	1.3487	0	18.5667	388.62	0.00400809	0.068463
71	2	0.557534	0.129275	1.35673	0	18.3613	387.387	0.00397637	0.0599152
72	2	0.565504	0.120637	1.36461	0	18.1612	386.176	0.00394537	0.0520426
73	2	0.573466	0.112115	1.37234	0	17.9667	384.99	0.00391514	0.0448339
74	2	0.581405	0.103716	1.37994	0	17.7769	383.823	0.00388555	0.0382704
75	2	0.589311	0.0954493	1.38744	0	17.591	382.672	0.00385648	0.0323296
76	2	0.596284	0.0882379	1.39455	0	17.4162	381.582	0.00382907	0.027567
77	2	0.603223	0.0811335	1.40128	0	17.2522	380.551	0.00380328	0.0232554
78	2	0.610111	0.0741496	1.4077	0	17.0968	379.569	0.00377877	0.019382
79	2	0.617772	0.0664529	1.4142	0	16.9405	378.574	0.00375407	0.0155292
80	2	0.624093	0.0601586	1.42037	0	16.7931	377.63	0.0037307	0.0127011
81	2	0.630743	0.0535935	1.42633	0	16.6518	376.72	0.00370826	0.010059
82	2	0.637286	0.0471857	1.43212	0	16.5153	375.835	0.00368653	0.0077813
83	2	0.643326	0.0413159	1.43763	0	16.3863	374.994	0.00366593	0.0059544
84	2	0.649244	0.035606	1.44287	0	16.2644	374.194	0.00364642	0.00441414
85	2	0.655023	0.0300683	1.44789	0	16.1484	373.43	0.00362784	0.00314219
86	2	0.660647	0.0247145	1.4527	0	16.0376	372.696	0.00361004	0.00211911
87	2	0.666098	0.019557	1.45735	0	15.9313	371.989	0.00359293	0.00132467
88	2	0.671358	0.0146091	1.46184	0	15.8292	371.306	0.00357648	0.000737945
89	2	0.676409	0.00988547	1.46616	0	15.7313	370.648	0.00356065	0.00033733
90	2	0.681083	0.00553796	1.47027	0	15.6387	370.024	0.00354567	0.000105699
91	2	0.68551	0.00144076	1.47416	0	15.5516	369.434	0.00353156	7.14304e-06
92	2	0.686664	0.000376396	1.4761	0	15.5083	369.139	0.00352452	4.87276e-07
93	2	0.687073	0	1.4761	0	15.5083	369.139	0.00352452	0

0	3	0.00207073	1	1.17865	0.118644	23.3179	414.761	0.0047165	3.96136
1	3	0.00287833	0.998711	1.17707	0.156318	23.3656	415.003	0.00472338	3.95129
2	3	0.00391738	0.997045	1.17507	0.203971	23.4261	415.31	0.00473211	3.9383
3	3	0.00518859	0.994995	1.17266	0.261045	23.4988	415.678	0.0047426	3.92234
4	3	0.00669289	0.992557	1.16988	0.326875	23.5831	416.103	0.00475474	3.90336
5	3	0.00843151	0.98972	1.16675	0.400704	23.678	416.581	0.00476841	3.88131
6	3	0.0104059	0.986473	1.16331	0.481689	23.7827	417.107	0.00478346	3.85612
7	3	0.0126179	0.982806	1.1596	0.568914	23.8961	417.674	0.00479974	3.82771
8	3	0.0150696	0.978704	1.15565	0.661404	24.0171	418.277	0.00481708	3.796
9	3	0.0177634	0.974151	1.15151	0.758137	24.1442	418.908	0.00483529	3.7609
10	3	0.020702	0.969131	1.14722	0.858061	24.2763	419.561	0.00485416	3.72232
11	3	0.0238884	0.963625	1.14284	0.960107	24.4116	420.229	0.00487348	3.68015
12	3	0.027326	0.957614	1.13842	1.0632	24.5488	420.902	0.00489302	3.63431
13	3	0.0310185	0.951076	1.13401	1.16629	24.6861	421.573	0.00491255	3.58468
14	3	0.0349695	0.943991	1.12966	1.26834	24.8218	422.234	0.00493183	3.5312
15	3	0.0391833	0.936337	1.12544	1.36835	24.9541	422.876	0.00495059	3.47378
16	3	0.043664	0.928093	1.1214	1.46536	25.0812	423.49	0.00496858	3.41237
17	3	0.0484159	0.91924	1.11759	1.55847	25.2012	424.068	0.00498555	3.34693
18	3	0.0534434	0.90976	1.11407	1.64683	25.3121	424.601	0.00500122	3.27747
19	3	0.0587509	0.899641	1.11091	1.72962	25.4123	425.08	0.00501534	3.20403
20	3	0.0643428	0.888872	1.10816	1.80612	25.4997	425.497	0.00502766	3.12669
21	3	0.0702232	0.877449	1.10586	1.87562	25.5726	425.844	0.00503793	3.04562
22	3	0.0763962	0.865377	1.10407	1.93751	25.6296	426.115	0.00504594	2.961
23	3	0.0828658	0.852665	1.10283	1.9912	25.6691	426.303	0.00505149	2.87311
24	3	0.0896358	0.83933	1.10218	2.03623	25.69	426.402	0.00505443	2.78227
25	3	0.0967097	0.825397	1.10213	2.07219	25.6916	426.409	0.00505466	2.68885
26	3	0.104091	0.810896	1.10269	2.09881	25.6735	426.324	0.00505212	2.59325
27	3	0.111783	0.795863	1.10388	2.11596	25.6359	426.145	0.00504682	2.49593
28	3	0.119788	0.780336	1.10566	2.12363	25.5792	425.876	0.00503885	2.39731
