i	j	x,in	r,in	mach	theta	pres,psi	temp,R	Density,slug/ft3	massflow
0	0	0	1	1.17779	0	23.3438	414.892	0.00472023	3.93017
1	0	0.000115146	0.999815	1.17793	0.0142295	23.3397	414.872	0.00471964	3.92872
2	0	0.000460843	0.99926	1.17833	0.0567608	23.3276	414.81	0.00471789	3.9244
3	0	0.00103843	0.998335	1.17901	0.127212	23.3073	414.707	0.00471495	3.9172
4	0	0.00185042	0.997042	1.17996	0.224996	23.2787	414.562	0.00471083	3.90712
5	0	0.00290049	0.99538	1.18118	0.349323	23.2418	414.374	0.00470549	3.89419
6	0	0.00419348	0.99335	1.1827	0.499205	23.1963	414.142	0.00469891	3.87841
7	0	0.00573538	0.990955	1.18451	0.67346	23.1421	413.865	0.00469106	3.8598
8	0	0.00753329	0.988195	1.18662	0.870718	23.0788	413.541	0.0046819	3.83837
9	0	0.00959544	0.985073	1.18904	1.08943	23.0064	413.17	0.0046714	3.81416
10	0	0.0119311	0.981589	1.19179	1.32788	22.9245	412.749	0.00465951	3.78719
11	0	0.0145506	0.977747	1.19487	1.58418	22.8329	412.278	0.00464621	3.75748
12	0	0.0174652	0.973549	1.19829	1.85631	22.7314	411.753	0.00463145	3.72507
13	0	0.0206871	0.968997	1.20206	2.14213	22.62	411.175	0.00461522	3.69
14	0	0.0242295	0.964094	1.20618	2.43935	22.4984	410.543	0.00459748	3.6523
15	0	0.0281061	0.958842	1.21067	2.74562	22.3666	409.854	0.00457824	3.61203
16	0	0.0323314	0.953247	1.21552	3.05853	22.2248	409.11	0.00455748	3.56922
17	0	0.0369204	0.94731	1.22073	3.37561	22.0729	408.31	0.00453522	3.52393
18	0	0.0418884	0.941036	1.2263	3.69437	21.9114	407.454	0.00451149	3.47623
19	0	0.047251	0.934428	1.23222	4.01235	21.7405	406.543	0.00448632	3.42617
20	0	0.053024	0.927491	1.23849	4.32714	21.5606	405.579	0.00445978	3.37381
21	0	0.0592226	0.920228	1.24509	4.6364	21.3724	404.564	0.00443193	3.31924
22	0	0.065862	0.912645	1.25201	4.93788	21.1764	403.501	0.00440287	3.26254
23	0	0.0729568	0.904746	1.25921	5.22951	20.9734	402.392	0.00437268	3.20378
24	0	0.0805207	0.896536	1.26669	5.50934	20.7643	401.241	0.00434149	3.14306
25	0	0.0885663	0.888021	1.27441	5.77563	20.5499	400.053	0.00430943	3.08047
26	0	0.0971052	0.879204	1.28234	6.02686	20.3312	398.832	0.00427662	3.01613
27	0	0.106147	0.870093	1.29045	6.26173	20.1093	397.583	0.00424322	2.95013
28	0	0.115701	0.860693	1.29871	6.47917	19.885	396.312	0.00420937	2.8826
29	0	0.125773	0.85101	1.30709	6.67837	19.6595	395.023	0.00417522	2.81366
30	0	0.136367	0.841049	1.31554	6.85878	19.4338	393.721	0.00414092	2.74343
31	0	0.147487	0.830818	1.32404	7.02008	19.2088	392.413	0.00410661	2.67205
32	0	0.159132	0.820322	1.33255	7.16219	18.9854	391.104	0.00407244	2.59964
33	0	0.171301	0.809568	1.34105	7.28524	18.7644	389.797	0.00403852	2.52636
34	0	0.18399	0.798564	1.34949	7.3896	18.5465	388.499	0.00400497	2.45233
35	0	0.197194	0.787315	1.35787	7.47579	18.3323	387.212	0.00397188	2.3777
36	0	0.210903	0.77583	1.36615	7.5445	18.1223	385.939	0.00393933	2.30262
37	0	0.225109	0.764116	1.37432	7.59653	17.917	384.685	0.00390739	2.22722
38	0	0.239801	0.75218	1.38237	7.63282	17.7163	383.449	0.00387609	2.15166
39	0	0.254966	0.74003	1.3903	7.65433	17.5206	382.234	0.00384546	2.07606
40	0	0.270589	0.727673	1.39809	7.66209	17.3298	381.04	0.00381549	2.00057
41	0	0.286657	0.715119	1.40576	7.65715	17.1436	379.865	0.00378616	1.92532
42	0	0.303153	0.702374	1.41331	7.64053	16.9618	378.71	0.00375744	1.85044
43	0	0.320063	0.689448	1.42075	7.61322	16.784	377.572	0.00372926	1.77606
44	0	0.337369	0.676348	1.42811	7.57616	16.6097	376.448	0.00370157	1.70231
45	0	0.355055	0.663084	1.4354	7.53023	16.4385	375.334	0.00367427	1.6293
46	0	0.373106	0.649663	1.44265	7.4762	16.2696	374.229	0.00364726	1.55715
47	0	0.391504	0.636096	1.44989	7.41478	16.1024	373.125	0.00362044	1.48597
48	0	0.410235	0.622391	1.45714	7.34657	15.9361	372.021	0.00359371	1.41586
49	0	0.429283	0.608557	1.46444	7.27207	15.7701	370.91	0.00356693	1.34693
50	0	0.448634	0.594604	1.47183	7.19172	15.6037	369.787	0.00354	1.27927
51	0	0.468272	0.58054	1.47934	7.10582	15.4361	368.647	0.0035128	1.21297
52	0	0.488185	0.566376	1.48699	7.01465	15.2666	367.487	0.00348521	1.14813
53	0	0.508358	0.552122	1.49483	6.91838	15.0947	366.299	0.00345712	1.08481
54	0	0.518569	0.537786	1.4918	6.6809	15.1609	366.758	0.00346796	1.02748
55	0	0.538832	0.523379	1.49991	6.57725	14.9842	365.531	0.00343903	0.967385
56	0	0.549073	0.508912	1.49759	6.34561	15.0345	365.882	0.00344727	0.912954
57	0	0.559232	0.494394	1.49566	6.11855	15.0765	366.173	0.00345415	0.859963
58	0	0.56931	0.479835	1.49413	5.89595	15.1099	366.405	0.00345962	0.808463
59	0	0.579307	0.465246	1.49301	5.67769	15.1346	366.576	0.00346365	0.758501
60	0	0.589224	0.450638	1.49229	5.46366	15.1502	366.684	0.00346621	0.710122
61	0	0.59906	0.436021	1.49198	5.25374	15.1569	366.73	0.0034673	0.663363
62	0	0.608817	0.421406	1.49209	5.04784	15.1546	366.715	0.00346693	0.618261
63	0	0.618493	0.406804	1.4926	4.84587	15.1435	366.638	0.00346511	0.574843
64	0	0.62809	0.392226	1.4935	4.64774	15.1237	366.501	0.00346188	0.533134
65	0	0.637605	0.377683	1.49479	4.45341	15.0955	366.305	0.00345726	0.493154
66	0	0.647039	0.363186	1.49646	4.26282	15.0592	366.053	0.00345132	0.454918
67	0	0.656391	0.348748	1.49849	4.07592	15.0151	365.746	0.00344409	0.418434
68	0	0.661024	0.334378	1.49669	3.86275	15.0541	366.018	0.00345048	0.384414
69	0	0.670149	0.320089	1.49937	3.68454	14.9958	365.612	0.00344094	0.351381
70	0	0.674667	0.305893	1.49835	3.48394	15.018	365.767	0.00344458	0.320666
71	0	0.679114	0.291802	1.49768	3.29008	15.0326	365.869	0.00344697	0.291572
72	0	0.683491	0.277828	1.49733	3.10276	15.0402	365.921	0.00344821	0.264093
73	0	0.687796	0.263984	1.49729	2.92178	15.0412	365.928	0.00344837	0.238219
74	0	0.692029	0.250281	1.49752	2.74697	15.0361	365.893	0.00344754	0.213936
75	0	0.696189	0.236733	1.498	2.57813	15.0256	365.82	0.00344582	0.191222
76	0	0.700276	0.223353	1.49871	2.41506	15.0101	365.712	0.00344327	0.170056
77	0	0.704288	0.210154	1.49964	2.25757	14.9901	365.572	0.00343999	0.150406
78	0	0.706255	0.19715	1.49905	2.09877	15.0028	365.661	0.00344208	0.132336
79	0	0.708179	0.184354	1.49866	1.94625	15.0112	365.719	0.00344346	0.115682
80	0	0.710058	0.17178	1.49846	1.79977	15.0156	365.75	0.00344418	0.10041
81	0	0.713725	0.159445	1.49999	1.66405	14.9824	365.519	0.00343873	0.0864211
82	0	0.71462	0.147362	1.49933	1.52631	14.9967	365.619	0.00344108	0.0738186
83	0	0.716361	0.135548	1.49956	1.39636	14.9917	365.583	0.00344026	0.0624347
84	0	0.718052	0.124019	1.49991	1.27159	14.9842	365.531	0.00343903	0.0522467
85	0	0.718873	0.112792	1.49965	1.15031	14.9898	365.57	0.00343994	0.0432123
86	0	0.719666	0.101886	1.4995	1.03426	14.993	365.593	0.00344048	0.0352561
87	0	0.720431	0.091319	1.49944	0.923324	14.9943	365.602	0.00344069	0.0283191
88	0	0.721168	0.0811128	1.49947	0.817406	14.9938	365.598	0.0034406	0.0223397
89	0	0.721874	0.0712893	1.49956	0.716457	14.9917	365.584	0.00344026	0.0172538
90	0	0.722548	0.0618726	1.49972	0.620479	14.9884	365.56	0.00343971	0.0129947
91	0	0.723189	0.0528898	1.49992	0.529525	14.9839	365.53	0.00343899	0.00949399
92	0	0.723493	0.044371	1.4999	0.443493	14.9843	365.532	0.00343904	0.00668165
93	0	0.723777	0.0363508	1.49993	0.362881	14.9836	365.527	0.00343893	0.00448425
94	0	0.72391	0.0288697	1.49989	0.287892	14.9846	365.534	0.0034391	0.0028284
95	0	0.724153	0.0219768	1.49998	0.21904	14.9826	365.52	0.00343877	0.00163893
96	0	0.724263	0.0157341	1.5	0.15675	14.9822	365.518	0.00343871	0.000840045
97	0	0.724311	0.010224	1.49999	0.101826	14.9823	365.518	0.00343873	0.000354698
98	0	0.724331	0.00556695	1.49999	0.0554352	14.9825	365.519	0.00343875	0.00010516
99	0	0.724347	0.00196858	1.49999	0.019602	14.9824	365.519	0.00343873	1.31499e-05
100	0	0.724356	0	1.5	0	14.9822	365.518	0.00343871	0

0	1	0.000230286	1	1.17789	0.0131944	23.341	414.878	0.00471983	3.96005
1	1	0.000575735	0.999445	1.17719	0.0296785	23.362	414.985	0.00472286	3.95572
2	1	0.00115151	0.998518	1.17604	0.0569172	23.3967	415.161	0.00472787	3.9485
3	1	0.00195787	0.997216	1.17445	0.0945802	23.4448	415.404	0.00473481	3.93836
4	1	0.00299525	0.995534	1.17243	0.14222	23.5058	415.713	0.00474361	3.92527
5	1	0.00426431	0.993466	1.17001	0.199277	23.5792	416.083	0.00475418	3.90919
6	1	0.00576594	0.991005	1.1672	0.265089	23.6642	416.512	0.00476642	3.89007
7	1	0.00750127	0.988142	1.16405	0.338896	23.7601	416.993	0.00478021	3.86785
8	1	0.00947171	0.984866	1.16059	0.419858	23.8658	417.522	0.00479539	3.84246
9	1	0.0116789	0.981164	1.15684	0.507057	23.9804	418.094	0.00481183	3.81384
10	1	0.0141249	0.977022	1.15286	0.59952	24.1026	418.702	0.00482933	3.78188
11	1	0.0168119	0.972425	1.14868	0.696226	24.2312	419.339	0.00484772	3.7465
12	1	0.0197424	0.967356	1.14436	0.796122	24.3648	419.998	0.00486679	3.70761
13	1	0.0229193	0.961794	1.13994	0.898141	24.5018	420.671	0.00488632	3.6651
14	1	0.0263457	0.955721	1.13547	1.00121	24.6407	421.352	0.0049061	3.61888
15	1	0.0300251	0.949114	1.131	1.10428	24.7799	422.03	0.00492588	3.56885
16	1	0.0339608	0.941953	1.1266	1.20631	24.9176	422.699	0.00494541	3.51491
17	1	0.0381567	0.934215	1.12232	1.3063	25.052	423.349	0.00496445	3.457
