i	j	X/R*	R/R*	mach	theta(deg)	Pressure, psia
0	0	0	1	1.17779	0	23.3438
0	1	0.000230286	1	1.17789	0.0131944	23.341
0	2	0.000920735	1	1.17816	0.0527543	23.3326
0	3	0.00207073	1	1.17865	0.118644	23.3179
0	4	0.00367965	1.00001	1.17938	0.210829	23.2961
0	5	0.00574714	1.00002	1.18039	0.329289	23.2657
0	6	0.00827332	1.00003	1.18174	0.474031	23.2252
0	7	0.0112592	1.00006	1.18349	0.645118	23.1725
0	8	0.0147071	1.00011	1.18573	0.842684	23.1054
0	9	0.0186211	1.00017	1.18855	1.06697	23.0212
0	10	0.0230076	1.00026	1.19204	1.31835	22.917
0	11	0.027876	1.00039	1.19633	1.59738	22.7896
0	12	0.0332391	1.00055	1.20152	1.90481	22.6358
0	13	0.0391138	1.00077	1.20775	2.24162	22.4521
0	14	0.0455216	1.00104	1.21516	2.6091	22.235
0	15	0.0524892	1.00138	1.22389	3.00879	21.9811
0	16	0.0600488	1.0018	1.23409	3.44261	21.687
0	17	0.0682387	1.00233	1.2459	3.91283	21.3494
0	18	0.0725912	1.00264	1.25257	4.16283	21.1604
0	19	0.0771036	1.00298	1.2595	4.4221	20.9655
0	20	0.0814532	1.00332	1.26654	4.6721	20.7684
0	21	0.0866942	1.00377	1.27503	4.97346	20.5326
0	22	0.0910403	1.00415	1.28243	5.22346	20.3287
0	23	0.097068	1.00472	1.29269	5.57036	20.0484
0	24	0.10141	1.00516	1.30041	5.82036	19.8391
0	25	0.108289	1.00588	1.31265	6.2167	19.5109
0	26	0.112626	1.00636	1.32067	6.4667	19.2978
0	27	0.120429	1.00728	1.3351	6.91684	18.9189
0	28	0.124759	1.00781	1.3434	7.16684	18.7035
0	29	0.129087	1.00837	1.35169	7.41684	18.4901
0	30	0.133564	1.00896	1.36027	7.67561	18.2713
0	31	0.137887	1.00955	1.36881	7.92561	18.0552
0	32	0.142208	1.01016	1.37736	8.17561	17.8412
0	33	0.14778	1.01098	1.38838	8.49832	17.5679
0	34	0.152094	1.01163	1.39715	8.74832	17.3526
0	35	0.156406	1.01231	1.40593	8.99832	17.1395
0	36	0.163168	1.0134	1.4197	9.39083	16.8091
0	37	0.167471	1.01412	1.42868	9.64083	16.5961
0	38	0.171771	1.01486	1.43767	9.89083	16.3854
0	39	0.179825	1.0163	1.45452	10.3596	15.996
0	40	0.184116	1.0171	1.46371	10.6096	15.7869
0	41	0.188403	1.01791	1.47289	10.8596	15.58
0	42	0.192686	1.01874	1.48208	11.1096	15.3752
0	43	0.197856	1.01977	1.49319	11.4116	15.1306
0	44	0.202131	1.02064	1.50256	11.6616	14.9268
0	45	0.206403	1.02153	1.51193	11.9116	14.7251
0	46	0.21067	1.02244	1.52131	12.1616	14.5256
0	47	0.217373	1.02391	1.53608	12.5548	14.2161
0	48	0.221629	1.02487	1.54563	12.8048	14.0189
0	49	0.225882	1.02585	1.55519	13.0548	13.8238
0	50	0.230131	1.02684	1.56476	13.3048	13.6308
0	51	0.238493	1.02886	1.58366	13.7976	13.2565
0	52	0.242728	1.02991	1.59339	14.0476	13.0672
0	53	0.246959	1.03097	1.60313	14.2976	12.88
0	54	0.251185	1.03206	1.61289	14.5476	12.6948
0	55	0.255406	1.03317	1.62266	14.7976	12.5117
0	56	0.261346	1.03475	1.63646	15.1499	12.2572
0	57	0.26252	1.03507	1.63922	15.2196	12.2067
0	58	0.283232	1.04079	1.66052	15.6366	11.824
0	59	0.315344	1.0499	1.68538	16.0174	11.3907
0	60	0.35465	1.06131	1.71222	16.3466	10.939
0	61	0.399764	1.07466	1.74042	16.6233	10.4817
0	62	0.449866	1.08973	1.76967	16.8468	10.0257
0	63	0.504308	1.10631	1.79955	17.023	9.57875
0	64	0.562647	1.12425	1.82986	17.1548	9.14429
0	65	0.624476	1.1434	1.86033	17.2475	8.72595
0	66	0.689496	1.16362	1.89083	17.3044	8.32524
0	67	0.757425	1.18481	1.92122	17.3292	7.94322
0	68	0.828043	1.20684	1.95144	17.3245	7.57998
0	69	0.901144	1.22962	1.98142	17.2928	7.23531
0	70	0.97657	1.25307	2.01114	17.2358	6.90848
0	71	1.05416	1.27708	2.04057	17.1555	6.59889
0	72	1.13381	1.30159	2.06975	17.0526	6.30528
0	73	1.21538	1.32652	2.09865	16.9293	6.02709
0	74	1.2988	1.35181	2.12702	16.7938	5.76575
0	75	1.38397	1.37739	2.15506	16.6419	5.51839
0	76	1.4708	1.40322	2.18158	16.5063	5.2941
0	77	1.55912	1.42929	2.20675	16.3836	5.08963
0	78	1.64885	1.45555	2.23193	16.2393	4.89291
0	79	1.73998	1.48196	2.25706	16.0767	4.70423
0	80	1.83248	1.50846	2.28209	15.8979	4.52351
0	81	1.92633	1.535	2.30734	15.6964	4.34826
0	82	2.02152	1.56156	2.33259	15.4789	4.17986
0	83	2.11804	1.58809	2.3576	15.2528	4.01961
0	84	2.21589	1.61455	2.38225	15.0215	3.8677
0	85	2.31504	1.64093	2.40712	14.7721	3.72036
0	86	2.41548	1.66718	2.43156	14.5213	3.58116
0	87	2.51723	1.69329	2.4558	14.2643	3.44838
0	88	2.62026	1.71923	2.48013	13.9947	3.3201
