i	j	X/R*	R/R*	mach	theta(deg)	Pressure, psia
0	89	2.72457	1.74496	2.50395	13.7278	3.1993
0	90	2.83021	1.77048	2.52886	13.4269	3.07781
0	91	2.93713	1.79575	2.5514	13.1725	2.97195
0	92	3.04524	1.8208	2.57338	12.9229	2.87234
0	93	3.15451	1.84562	2.59525	12.6685	2.77667
0	94	3.26497	1.87018	2.61728	12.4037	2.68365
0	95	3.37664	1.89445	2.63972	12.1234	2.5922
0	96	3.48955	1.91841	2.6627	11.8253	2.50191
0	97	3.60386	1.94202	2.68604	11.5143	2.41353
0	98	3.71944	1.96524	2.70889	11.2092	2.33019
0	99	3.83648	1.98812	2.73143	10.9066	2.25091
0	100	3.95472	2.01059	2.7532	10.6161	2.17703
0	101	4.07438	2.03271	2.77458	10.3301	2.10692
0	102	4.19506	2.0544	2.79572	10.0447	2.03993
0	103	4.31728	2.07574	2.81672	9.75968	1.97563
0	104	4.44071	2.09666	2.83719	9.4819	1.91496
0	105	4.56533	2.11716	2.85743	9.20562	1.85692
0	106	4.69124	2.13726	2.87735	8.93307	1.80163
0	107	4.81835	2.15693	2.89691	8.6647	1.74899
0	108	4.94678	2.17619	2.91631	8.39711	1.6984
0	109	5.07638	2.19502	2.93528	8.13552	1.65044
0	110	5.20708	2.21341	2.95399	7.8763	1.60453
0	111	5.33916	2.23137	2.97247	7.61974	1.56052
0	112	5.47235	2.24889	2.99059	7.36771	1.5186
0	113	5.60673	2.26597	3.00846	7.11848	1.47844
0	114	5.74242	2.28262	3.02608	6.87225	1.43994
0	115	5.87916	2.29881	3.04333	6.63066	1.40326
0	116	6.01704	2.31455	3.06032	6.39237	1.36813
0	117	6.15634	2.32986	3.07713	6.15598	1.33428
0	118	6.29667	2.34471	3.09359	5.92432	1.30202
0	119	6.43814	2.3591	3.10977	5.69608	1.2711
0	120	6.58068	2.37304	3.12563	5.47216	1.24157
0	121	6.72438	2.38653	3.14122	5.25147	1.21324
0	122	6.86922	2.39956	3.15654	5.03443	1.18609
0	123	7.01515	2.41214	3.17156	4.82121	1.16009
0	124	7.16222	2.42428	3.18633	4.61114	1.13512
0	125	7.31035	2.43595	3.20079	4.4052	1.11123
0	126	7.45955	2.44718	3.21497	4.20291	1.08833
0	127	7.60979	2.45796	3.22885	4.00457	1.06641
0	128	7.76106	2.46829	3.24243	3.81014	1.04541
0	129	7.91354	2.47819	3.25581	3.61827	1.02516
0	130	8.06698	2.48764	3.26887	3.43058	1.0058
0	131	8.22142	2.49665	3.28163	3.2469	0.987267
0	132	8.37655	2.50521	3.29394	3.06915	0.969725
0	133	8.53305	2.51336	3.30617	2.89241	0.952641
0	134	8.69055	2.52107	3.31811	2.71951	0.936276
0	135	8.84892	2.52836	3.32971	2.55102	0.920658
0	136	9.00827	2.53523	3.34104	2.38611	0.905678
0	137	9.16842	2.54168	3.352	2.22617	0.891439
0	138	9.32948	2.54772	3.36266	2.07017	0.877821
0	139	9.4916	2.55336	3.37311	1.91688	0.864685
0	140	9.6545	2.5586	3.38321	1.7683	0.852195
0	141	9.81821	2.56345	3.39296	1.62427	0.840311
0	142	9.9828	2.56791	3.40243	1.48406	0.828949
0	143	10.1482	2.572	3.41158	1.34814	0.818128
0	144	10.3143	2.57572	3.42036	1.21719	0.807888
0	145	10.4815	2.57908	3.42898	1.08849	0.797978
0	146	10.6493	2.58209	3.4372	0.965043	0.788636
0	147	10.8177	2.58475	3.44502	0.847179	0.77987
0	148	10.9869	2.58708	3.45251	0.733784	0.771567
0	149	11.1566	2.5891	3.45957	0.626284	0.763822
0	150	11.3271	2.59081	3.46626	0.524106	0.756572
0	151	11.4985	2.59222	3.4729	0.422554	0.749445
0	152	11.6702	2.59335	3.47884	0.330919	0.74313
0	153	11.8424	2.59422	3.48437	0.245216	0.737305
0	154	12.0153	2.59484	3.48941	0.16669	0.732038
0	155	12.1886	2.59523	3.49389	0.0965099	0.727391
0	156	12.3623	2.59543	3.49751	0.0393517	0.723652
0	157	12.5363	2.59548	3.5	0	0.721101
