Summary output file for CONGO-2D

Definition of terms:
Stream Thrust = Mdot*Vel + Pexit*Aexit
Gross Thrust = Mdot*Vel + Pexit*Aexit - Pamb*Aexit
Stream Thrust = Gross Thrust when Pamb = 0 (vacuum)
Cfg = Nozzle Thrust Coefficient (Gross Isp/Ideal Isp)
C* = Characteristic Exhaust Velocity
CD = Discharge coefficient: Massflow 2D/ Massflow 1D
1D = Assumes input are axial
2D = Uses actual flow angles in calculation

Input parameters
R*  = Throat Radius (in)

Nozzle Type: Perfect Nozzle

Nozzle Geometry:	Axisymmetric Nozzle
Design Parameter:	Exit Mach Number = 3.5
Throat Geometry created by two arcs of given radii.
Upstream Radius/R*:	1
Downstream Radius/R*:	1

Thermodynamic Inputs
Total Pressure (psia):	55
Total Temperature (R):	530
Gamma:	1.4
Molecular Weight:	28.96
Ambient Pressure (psia):	0

MOC Grid Parameters
Number of characteristic lines at the nozzle throat:	101
Maximum allowable angle between characteristics along wall (deg):	0.5
Number of RRCs to calculate above KERNEL (50-100):	100

The Initial Data Line is where the MOC calculation begins.
Its based on the upstream radius of curvature and gamma.
It is solved for using a method developed
by Kliegel and Levine. This method is based on a method
developed by Hall. Hall used cylindrical coordinates (R)
This method uses toroid coordinates (R+1). This method
does better for small upstream radii.

Initial Data Line (Throat)

I	X/R*	R/R*	Mach	Flow Angle(deg)	Pres.(psia)	Temp.(R)	Den.(slug/ft3)	Gamma	Mass Flow(lbm/s)
0	0	1	1.17779	0	23.3438	414.892	0.00472023	1.4	3.93017
1	0.000115146	0.999815	1.17793	0.0142295	23.3397	414.872	0.00471964	1.4	3.92872
2	0.000460843	0.99926	1.17833	0.0567608	23.3276	414.81	0.00471789	1.4	3.9244
3	0.00103843	0.998335	1.17901	0.127212	23.3073	414.707	0.00471495	1.4	3.9172
4	0.00185042	0.997042	1.17996	0.224996	23.2787	414.562	0.00471083	1.4	3.90712
5	0.00290049	0.99538	1.18118	0.349323	23.2418	414.374	0.00470549	1.4	3.89419
6	0.00419348	0.99335	1.1827	0.499205	23.1963	414.142	0.00469891	1.4	3.87841
7	0.00573538	0.990955	1.18451	0.67346	23.1421	413.865	0.00469106	1.4	3.8598
8	0.00753329	0.988195	1.18662	0.870718	23.0788	413.541	0.0046819	1.4	3.83837
9	0.00959544	0.985073	1.18904	1.08943	23.0064	413.17	0.0046714	1.4	3.81416
10	0.0119311	0.981589	1.19179	1.32788	22.9245	412.749	0.00465951	1.4	3.78719
11	0.0145506	0.977747	1.19487	1.58418	22.8329	412.278	0.00464621	1.4	3.75748
12	0.0174652	0.973549	1.19829	1.85631	22.7314	411.753	0.00463145	1.4	3.72507
13	0.0206871	0.968997	1.20206	2.14213	22.62	411.175	0.00461522	1.4	3.69
14	0.0242295	0.964094	1.20618	2.43935	22.4984	410.543	0.00459748	1.4	3.6523
15	0.0281061	0.958842	1.21067	2.74562	22.3666	409.854	0.00457824	1.4	3.61203
16	0.0323314	0.953247	1.21552	3.05853	22.2248	409.11	0.00455748	1.4	3.56922
17	0.0369204	0.94731	1.22073	3.37561	22.0729	408.31	0.00453522	1.4	3.52393
18	0.0418884	0.941036	1.2263	3.69437	21.9114	407.454	0.00451149	1.4	3.47623
19	0.047251	0.934428	1.23222	4.01235	21.7405	406.543	0.00448632	1.4	3.42617
20	0.053024	0.927491	1.23849	4.32714	21.5606	405.579	0.00445978	1.4	3.37381
21	0.0592226	0.920228	1.24509	4.6364	21.3724	404.564	0.00443193	1.4	3.31924
22	0.065862	0.912645	1.25201	4.93788	21.1764	403.501	0.00440287	1.4	3.26254
23	0.0729568	0.904746	1.25921	5.22951	20.9734	402.392	0.00437268	1.4	3.20378
24	0.0805207	0.896536	1.26669	5.50934	20.7643	401.241	0.00434149	1.4	3.14306
25	0.0885663	0.888021	1.27441	5.77563	20.5499	400.053	0.00430943	1.4	3.08047
26	0.0971052	0.879204	1.28234	6.02686	20.3312	398.832	0.00427662	1.4	3.01613
27	0.106147	0.870093	1.29045	6.26173	20.1093	397.583	0.00424322	1.4	2.95013
28	0.115701	0.860693	1.29871	6.47917	19.885	396.312	0.00420937	1.4	2.8826
29	0.125773	0.85101	1.30709	6.67837	19.6595	395.023	0.00417522	1.4	2.81366
30	0.136367	0.841049	1.31554	6.85878	19.4338	393.721	0.00414092	1.4	2.74343
