Summary output file for CONGO-2D

Definition of terms:
Stream Thrust = Mdot*Vel + Pexit*Aexit
Gross Thrust = Mdot*Vel + Pexit*Aexit - Pamb*Aexit
Stream Thrust = Gross Thrust when Pamb = 0 (vacuum)
Cfg = Nozzle Thrust Coefficient (Gross Isp/Ideal Isp)
C* = Characteristic Exhaust Velocity
CD = Discharge coefficient: Massflow 2D/ Massflow 1D
1D = Assumes input are axial
2D = Uses actual flow angles in calculation

Input parameters
R*  = Throat Radius (in)

Nozzle Type: Perfect Nozzle

Nozzle Geometry:	Axisymmetric Nozzle
Design Parameter:	Exit Mach Number = 3.5
Throat Geometry created by two arcs of given radii.
Upstream Radius/R*:	1
Downstream Radius/R*:	1

Thermodynamic Inputs
Total Pressure (psia):	55
Total Temperature (R):	530
Gamma:	1.4
Molecular Weight:	28.96
Ambient Pressure (psia):	0

MOC Grid Parameters
Number of characteristic lines at the nozzle throat:	101
Maximum allowable angle between characteristics along wall (deg):	0.5
Number of RRCs to calculate above KERNEL (50-100):	100

The Initial Data Line is where the MOC calculation begins.
Its based on the upstream radius of curvature and gamma.
It is solved for using a method developed
by Kliegel and Levine. This method is based on a method
developed by Hall. Hall used cylindrical coordinates (R)
This method uses toroid coordinates (R+1). This method
does better for small upstream radii.

Initial Data Line (Throat)

I	X/R*	R/R*	Mach	Flow Angle(deg)	Pres.(psia)	Temp.(R)	Den.(slug/ft3)	Gamma	Mass Flow(lbm/s)
31	0.147487	0.830818	1.32404	7.02008	19.2088	392.413	0.00410661	1.4	2.67205
32	0.159132	0.820322	1.33255	7.16219	18.9854	391.104	0.00407244	1.4	2.59964
33	0.171301	0.809568	1.34105	7.28524	18.7644	389.797	0.00403852	1.4	2.52636
34	0.18399	0.798564	1.34949	7.3896	18.5465	388.499	0.00400497	1.4	2.45233
35	0.197194	0.787315	1.35787	7.47579	18.3323	387.212	0.00397188	1.4	2.3777
36	0.210903	0.77583	1.36615	7.5445	18.1223	385.939	0.00393933	1.4	2.30262
37	0.225109	0.764116	1.37432	7.59653	17.917	384.685	0.00390739	1.4	2.22722
38	0.239801	0.75218	1.38237	7.63282	17.7163	383.449	0.00387609	1.4	2.15166
39	0.254966	0.74003	1.3903	7.65433	17.5206	382.234	0.00384546	1.4	2.07606
40	0.270589	0.727673	1.39809	7.66209	17.3298	381.04	0.00381549	1.4	2.00057
41	0.286657	0.715119	1.40576	7.65715	17.1436	379.865	0.00378616	1.4	1.92532
42	0.303153	0.702374	1.41331	7.64053	16.9618	378.71	0.00375744	1.4	1.85044
43	0.320063	0.689448	1.42075	7.61322	16.784	377.572	0.00372926	1.4	1.77606
44	0.337369	0.676348	1.42811	7.57616	16.6097	376.448	0.00370157	1.4	1.70231
45	0.355055	0.663084	1.4354	7.53023	16.4385	375.334	0.00367427	1.4	1.6293
46	0.373106	0.649663	1.44265	7.4762	16.2696	374.229	0.00364726	1.4	1.55715
47	0.391504	0.636096	1.44989	7.41478	16.1024	373.125	0.00362044	1.4	1.48597
48	0.410235	0.622391	1.45714	7.34657	15.9361	372.021	0.00359371	1.4	1.41586
49	0.429283	0.608557	1.46444	7.27207	15.7701	370.91	0.00356693	1.4	1.34693
50	0.448634	0.594604	1.47183	7.19172	15.6037	369.787	0.00354	1.4	1.27927
51	0.468272	0.58054	1.47934	7.10582	15.4361	368.647	0.0035128	1.4	1.21297
52	0.488185	0.566376	1.48699	7.01465	15.2666	367.487	0.00348521	1.4	1.14813
53	0.508358	0.552122	1.49483	6.91838	15.0947	366.299	0.00345712	1.4	1.08481
54	0.518569	0.537786	1.4918	6.6809	15.1609	366.758	0.00346796	1.4	1.02748
55	0.538832	0.523379	1.49991	6.57725	14.9842	365.531	0.00343903	1.4	0.967385
56	0.549073	0.508912	1.49759	6.34561	15.0345	365.882	0.00344727	1.4	0.912954
57	0.559232	0.494394	1.49566	6.11855	15.0765	366.173	0.00345415	1.4	0.859963
58	0.56931	0.479835	1.49413	5.89595	15.1099	366.405	0.00345962	1.4	0.808463
59	0.579307	0.465246	1.49301	5.67769	15.1346	366.576	0.00346365	1.4	0.758501
60	0.589224	0.450638	1.49229	5.46366	15.1502	366.684	0.00346621	1.4	0.710122
61	0.59906	0.436021	1.49198	5.25374	15.1569	366.73	0.0034673	1.4	0.663363
62	0.608817	0.421406	1.49209	5.04784	15.1546	366.715	0.00346693	1.4	0.618261
63	0.618493	0.406804	1.4926	4.84587	15.1435	366.638	0.00346511	1.4	0.574843
64	0.62809	0.392226	1.4935	4.64774	15.1237	366.501	0.00346188	1.4	0.533134
65	0.637605	0.377683	1.49479	4.45341	15.0955	366.305	0.00345726	1.4	0.493154
66	0.647039	0.363186	1.49646	4.26282	15.0592	366.053	0.00345132	1.4	0.454918
67	0.656391	0.348748	1.49849	4.07592	15.0151	365.746	0.00344409	1.4	0.418434
68	0.661024	0.334378	1.49669	3.86275	15.0541	366.018	0.00345048	1.4	0.384414
69	0.670149	0.320089	1.49937	3.68454	14.9958	365.612	0.00344094	1.4	0.351381
70	0.674667	0.305893	1.49835	3.48394	15.018	365.767	0.00344458	1.4	0.320666
71	0.679114	0.291802	1.49768	3.29008	15.0326	365.869	0.00344697	1.4	0.291572
72	0.683491	0.277828	1.49733	3.10276	15.0402	365.921	0.00344821	1.4	0.264093
73	0.687796	0.263984	1.49729	2.92178	15.0412	365.928	0.00344837	1.4	0.238219
74	0.692029	0.250281	1.49752	2.74697	15.0361	365.893	0.00344754	1.4	0.213936
75	0.696189	0.236733	1.498	2.57813	15.0256	365.82	0.00344582	1.4	0.191222
76	0.700276	0.223353	1.49871	2.41506	15.0101	365.712	0.00344327	1.4	0.170056
77	0.704288	0.210154	1.49964	2.25757	14.9901	365.572	0.00343999	1.4	0.150406
78	0.706255	0.19715	1.49905	2.09877	15.0028	365.661	0.00344208	1.4	0.132336
79	0.708179	0.184354	1.49866	1.94625	15.0112	365.719	0.00344346	1.4	0.115682
80	0.710058	0.17178	1.49846	1.79977	15.0156	365.75	0.00344418	1.4	0.10041
81	0.713725	0.159445	1.49999	1.66405	14.9824	365.519	0.00343873	1.4	0.0864211
82	0.71462	0.147362	1.49933	1.52631	14.9967	365.619	0.00344108	1.4	0.0738186
83	0.716361	0.135548	1.49956	1.39636	14.9917	365.583	0.00344026	1.4	0.0624347
84	0.718052	0.124019	1.49991	1.27159	14.9842	365.531	0.00343903	1.4	0.0522467
85	0.718873	0.112792	1.49965	1.15031	14.9898	365.57	0.00343994	1.4	0.0432123
86	0.719666	0.101886	1.4995	1.03426	14.993	365.593	0.00344048	1.4	0.0352561
87	0.720431	0.091319	1.49944	0.923324	14.9943	365.602	0.00344069	1.4	0.0283191
88	0.721168	0.0811128	1.49947	0.817406	14.9938	365.598	0.0034406	1.4	0.0223397
89	0.721874	0.0712893	1.49956	0.716457	14.9917	365.584	0.00344026	1.4	0.0172538
90	0.722548	0.0618726	1.49972	0.620479	14.9884	365.56	0.00343971	1.4	0.0129947
91	0.723189	0.0528898	1.49992	0.529525	14.9839	365.53	0.00343899	1.4	0.00949399
92	0.723493	0.044371	1.4999	0.443493	14.9843	365.532	0.00343904	1.4	0.00668165
93	0.723777	0.0363508	1.49993	0.362881	14.9836	365.527	0.00343893	1.4	0.00448425
94	0.72391	0.0288697	1.49989	0.287892	14.9846	365.534	0.0034391	1.4	0.0028284
95	0.724153	0.0219768	1.49998	0.21904	14.9826	365.52	0.00343877	1.4	0.00163893
96	0.724263	0.0157341	1.5	0.15675	14.9822	365.518	0.00343871	1.4	0.000840045
97	0.724311	0.010224	1.49999	0.101826	14.9823	365.518	0.00343873	1.4	0.000354698
98	0.724331	0.00556695	1.49999	0.0554352	14.9825	365.519	0.00343875	1.4	0.00010516
99	0.724347	0.00196858	1.49999	0.019602	14.9824	365.519	0.00343873	1.4	1.31499e-05
100	0.724356	0	1.5	0	14.9822	365.518	0.00343871	1.4	0

Initial Data Line(Throat Plane) 
For a throat radius(in) = 1.0. 
2-D Mass Flow (lbm/s):	3.93017
2-D Gross Thrust (lbf):	216.919
2-D Isp (lbf-s/lbm):	55.1933
For an axisymmeric nozzle ,thrust and massflow are proportional to the throat
radius squared (R*^2). To find these values for a radius other than 1 inch,
multiple the values by the square of the new radius. For example, for a radius
of 3 inches, thrust and massflow would increase by a factor of 9.
2-D C* (ft/s):	1414.51

Based on the total conditions and assuming Mach = 1 at throat
1-D Mass Flow (lbm/s):	3.99101
1-D Gross Thrust (lbf):	219.073
1-D Gross Isp (lbf-s/lbm):	54.8917
1-D C* (ft/s):	1392.95
CD(2-D/1-D):	0.984756

Initial Expansion Angle ThetaB(deg):	15.2196
Massflow error due to grid at end of Kernel (%):	100

Last LRC, DE that effects the nozzle wall contour.
J	X/R*	R/R*	Mach	Theta(deg)	P(psia)	T(R)	Velocity(ft/s)	Density(slug/ft3)	Gamma	
0	3.8308	0	3.5	0	0.721101	153.623	0.000393792	1.4
1	3.91785	0.0259548	3.5	0	0.721101	153.623	0.000393792	1.4
2	4.00491	0.0519096	3.5	0	0.721101	153.623	0.000393792	1.4
3	4.09196	0.0778644	3.5	0	0.721101	153.623	0.000393792	1.4
4	4.17902	0.103819	3.5	0	0.721101	153.623	0.000393792	1.4
5	4.26607	0.129774	3.5	0	0.721101	153.623	0.000393792	1.4
6	4.35313	0.155729	3.5	0	0.721101	153.623	0.000393792	1.4
7	4.44018	0.181683	3.5	0	0.721101	153.623	0.000393792	1.4
8	4.52724	0.207638	3.5	0	0.721101	153.623	0.000393792	1.4
9	4.61429	0.233593	3.5	0	0.721101	153.623	0.000393792	1.4
10	4.70135	0.259548	3.5	0	0.721101	153.623	0.000393792	1.4
11	4.7884	0.285503	3.5	0	0.721101	153.623	0.000393792	1.4
12	4.87546	0.311457	3.5	0	0.721101	153.623	0.000393792	1.4
13	4.96251	0.337412	3.5	0	0.721101	153.623	0.000393792	1.4
14	5.04957	0.363367	3.5	0	0.721101	153.623	0.000393792	1.4
15	5.13662	0.389322	3.5	0	0.721101	153.623	0.000393792	1.4
16	5.22368	0.415277	3.5	0	0.721101	153.623	0.000393792	1.4
17	5.31073	0.441231	3.5	0	0.721101	153.623	0.000393792	1.4
18	5.39779	0.467186	3.5	0	0.721101	153.623	0.000393792	1.4
19	5.48484	0.493141	3.5	0	0.721101	153.623	0.000393792	1.4
20	5.5719	0.519096	3.5	0	0.721101	153.623	0.000393792	1.4
21	5.65895	0.54505	3.5	0	0.721101	153.623	0.000393792	1.4
22	5.74601	0.571005	3.5	0	0.721101	153.623	0.000393792	1.4
23	5.83306	0.59696	3.5	0	0.721101	153.623	0.000393792	1.4
24	5.92012	0.622915	3.5	0	0.721101	153.623	0.000393792	1.4
25	6.00717	0.64887	3.5	0	0.721101	153.623	0.000393792	1.4
26	6.09423	0.674824	3.5	0	0.721101	153.623	0.000393792	1.4
27	6.18128	0.700779	3.5	0	0.721101	153.623	0.000393792	1.4
28	6.26834	0.726734	3.5	0	0.721101	153.623	0.000393792	1.4
29	6.35539	0.752689	3.5	0	0.721101	153.623	0.000393792	1.4
30	6.44245	0.778644	3.5	0	0.721101	153.623	0.000393792	1.4
31	6.5295	0.804598	3.5	0	0.721101	153.623	0.000393792	1.4
32	6.61656	0.830553	3.5	0	0.721101	153.623	0.000393792	1.4
33	6.70361	0.856508	3.5	0	0.721101	153.623	0.000393792	1.4
34	6.79067	0.882463	3.5	0	0.721101	153.623	0.000393792	1.4
35	6.87772	0.908417	3.5	0	0.721101	153.623	0.000393792	1.4
36	6.96478	0.934372	3.5	0	0.721101	153.623	0.000393792	1.4
37	7.05183	0.960327	3.5	0	0.721101	153.623	0.000393792	1.4
38	7.13889	0.986282	3.5	0	0.721101	153.623	0.000393792	1.4
39	7.22594	1.01224	3.5	0	0.721101	153.623	0.000393792	1.4
40	7.313	1.03819	3.5	0	0.721101	153.623	0.000393792	1.4
41	7.40005	1.06415	3.5	0	0.721101	153.623	0.000393792	1.4
42	7.48711	1.0901	3.5	0	0.721101	153.623	0.000393792	1.4
43	7.57416	1.11606	3.5	0	0.721101	153.623	0.000393792	1.4
44	7.66122	1.14201	3.5	0	0.721101	153.623	0.000393792	1.4
45	7.74827	1.16797	3.5	0	0.721101	153.623	0.000393792	1.4
46	7.83533	1.19392	3.5	0	0.721101	153.623	0.000393792	1.4
47	7.92238	1.21987	3.5	0	0.721101	153.623	0.000393792	1.4
48	8.00944	1.24583	3.5	0	0.721101	153.623	0.000393792	1.4
49	8.09649	1.27178	3.5	0	0.721101	153.623	0.000393792	1.4
50	8.18355	1.29774	3.5	0	0.721101	153.623	0.000393792	1.4
51	8.2706	1.32369	3.5	0	0.721101	153.623	0.000393792	1.4
52	8.35766	1.34965	3.5	0	0.721101	153.623	0.000393792	1.4
53	8.44471	1.3756	3.5	0	0.721101	153.623	0.000393792	1.4
54	8.53177	1.40156	3.5	0	0.721101	153.623	0.000393792	1.4
55	8.61882	1.42751	3.5	0	0.721101	153.623	0.000393792	1.4
56	8.70588	1.45347	3.5	0	0.721101	153.623	0.000393792	1.4
57	8.79293	1.47942	3.5	0	0.721101	153.623	0.000393792	1.4
58	8.87999	1.50538	3.5	0	0.721101	153.623	0.000393792	1.4
59	8.96704	1.53133	3.5	0	0.721101	153.623	0.000393792	1.4
60	9.0541	1.55729	3.5	0	0.721101	153.623	0.000393792	1.4
61	9.14115	1.58324	3.5	0	0.721101	153.623	0.000393792	1.4
62	9.22821	1.6092	3.5	0	0.721101	153.623	0.000393792	1.4
63	9.31526	1.63515	3.5	0	0.721101	153.623	0.000393792	1.4
64	9.40232	1.66111	3.5	0	0.721101	153.623	0.000393792	1.4
65	9.48937	1.68706	3.5	0	0.721101	153.623	0.000393792	1.4
66	9.57643	1.71302	3.5	0	0.721101	153.623	0.000393792	1.4
67	9.66348	1.73897	3.5	0	0.721101	153.623	0.000393792	1.4
68	9.75054	1.76493	3.5	0	0.721101	153.623	0.000393792	1.4
69	9.83759	1.79088	3.5	0	0.721101	153.623	0.000393792	1.4
70	9.92465	1.81683	3.5	0	0.721101	153.623	0.000393792	1.4
71	10.0117	1.84279	3.5	0	0.721101	153.623	0.000393792	1.4
72	10.0988	1.86874	3.5	0	0.721101	153.623	0.000393792	1.4
73	10.1858	1.8947	3.5	0	0.721101	153.623	0.000393792	1.4
74	10.2729	1.92065	3.5	0	0.721101	153.623	0.000393792	1.4
75	10.3599	1.94661	3.5	0	0.721101	153.623	0.000393792	1.4
76	10.447	1.97256	3.5	0	0.721101	153.623	0.000393792	1.4
77	10.534	1.99852	3.5	0	0.721101	153.623	0.000393792	1.4
78	10.6211	2.02447	3.5	0	0.721101	153.623	0.000393792	1.4
79	10.7081	2.05043	3.5	0	0.721101	153.623	0.000393792	1.4
80	10.7952	2.07638	3.5	0	0.721101	153.623	0.000393792	1.4
81	10.8823	2.10234	3.5	0	0.721101	153.623	0.000393792	1.4
82	10.9693	2.12829	3.5	0	0.721101	153.623	0.000393792	1.4
83	11.0564	2.15425	3.5	0	0.721101	153.623	0.000393792	1.4
84	11.1434	2.1802	3.5	0	0.721101	153.623	0.000393792	1.4
85	11.2305	2.20616	3.5	0	0.721101	153.623	0.000393792	1.4
86	11.3175	2.23211	3.5	0	0.721101	153.623	0.000393792	1.4
87	11.4046	2.25807	3.5	0	0.721101	153.623	0.000393792	1.4
88	11.4916	2.28402	3.5	0	0.721101	153.623	0.000393792	1.4
89	11.5787	2.30998	3.5	0	0.721101	153.623	0.000393792	1.4
90	11.6657	2.33593	3.5	0	0.721101	153.623	0.000393792	1.4
91	11.7528	2.36189	3.5	0	0.721101	153.623	0.000393792	1.4
92	11.8399	2.38784	3.5	0	0.721101	153.623	0.000393792	1.4
93	11.9269	2.41379	3.5	0	0.721101	153.623	0.000393792	1.4
94	12.014	2.43975	3.5	0	0.721101	153.623	0.000393792	1.4
95	12.101	2.4657	3.5	0	0.721101	153.623	0.000393792	1.4
96	12.1881	2.49166	3.5	0	0.721101	153.623	0.000393792	1.4
97	12.2751	2.51761	3.5	0	0.721101	153.623	0.000393792	1.4
98	12.3622	2.54357	3.5	0	0.721101	153.623	0.000393792	1.4
99	12.4492	2.56952	3.5	0	0.721101	153.623	0.000393792	1.4
100	12.5363	2.59548	3.5	0	0.721101	153.623	0.000393792	1.4


Calculated wall contour
J	X/R*	R/R*	Mach	Theta(deg)	P(psia)	T(R)	Density(slug/ft3)	Gamma	Mass Flow (lbm)	%Dif in Mdot
0	0	1	1.17779	0	23.3438	414.892	0.00472023	1.4	3.93017	0
1	0.000230286	1	1.17789	0.0131944	23.341	414.878	0.00471983	1.4	3.96005	0.76026
2	0.000920735	1	1.17816	0.0527543	23.3326	414.836	0.00471862	1.4	3.96082	0.77988
3	0.00207073	1	1.17865	0.118644	23.3179	414.761	0.0047165	1.4	3.96136	0.793707
4	0.00367965	1.00001	1.17938	0.210829	23.2961	414.65	0.00471334	1.4	3.9617	0.802265
5	0.00574714	1.00002	1.18039	0.329289	23.2657	414.495	0.00470895	1.4	3.96185	0.806067
6	0.00827332	1.00003	1.18174	0.474031	23.2252	414.289	0.00470309	1.4	3.96183	0.805712
7	0.0112592	1.00006	1.18349	0.645118	23.1725	414.021	0.00469547	1.4	3.96169	0.801988
8	0.0147071	1.00011	1.18573	0.842684	23.1054	413.678	0.00468575	1.4	3.96144	0.795695
9	0.0186211	1.00017	1.18855	1.06697	23.0212	413.246	0.00467355	1.4	3.96111	0.787458
10	0.0230076	1.00026	1.19204	1.31835	22.917	412.711	0.00465842	1.4	3.96075	0.778113
11	0.027876	1.00039	1.19633	1.59738	22.7896	412.054	0.00463992	1.4	3.96037	0.768629
12	0.0332391	1.00055	1.20152	1.90481	22.6358	411.258	0.00461753	1.4	3.96005	0.760342
13	0.0391138	1.00077	1.20775	2.24162	22.4521	410.301	0.00459073	1.4	3.95986	0.755441
14	0.0455216	1.00104	1.21516	2.6091	22.235	409.164	0.00455898	1.4	3.95979	0.753784
15	0.0524892	1.00138	1.22389	3.00879	21.9811	407.823	0.00452173	1.4	3.95979	0.753725
16	0.0600488	1.0018	1.23409	3.44261	21.687	406.257	0.00447843	1.4	3.95977	0.753362
17	0.0682387	1.00233	1.2459	3.91283	21.3494	404.44	0.00442853	1.4	3.95977	0.753192
18	0.0725912	1.00264	1.25257	4.16283	21.1604	403.414	0.00440049	1.4	3.95977	0.753113
19	0.0771036	1.00298	1.2595	4.4221	20.9655	402.349	0.0043715	1.4	3.95976	0.753104
20	0.0814532	1.00332	1.26654	4.6721	20.7684	401.264	0.00434211	1.4	3.95976	0.753033
21	0.0866942	1.00377	1.27503	4.97346	20.5326	399.957	0.00430684	1.4	3.95976	0.752973
22	0.0910403	1.00415	1.28243	5.22346	20.3287	398.818	0.00427625	1.4	3.95976	0.752912
23	0.097068	1.00472	1.29269	5.57036	20.0484	397.239	0.00423404	1.4	3.95975	0.752816
24	0.10141	1.00516	1.30041	5.82036	19.8391	396.05	0.00420243	1.4	3.95975	0.752766
25	0.108289	1.00588	1.31265	6.2167	19.5109	394.167	0.00415265	1.4	3.95975	0.752627
26	0.112626	1.00636	1.32067	6.4667	19.2978	392.932	0.0041202	1.4	3.95974	0.752586
27	0.120429	1.00728	1.3351	6.91684	18.9189	390.712	0.00406224	1.4	3.95974	0.752394
28	0.124759	1.00781	1.3434	7.16684	18.7035	389.436	0.00402916	1.4	3.95974	0.752364
29	0.129087	1.00837	1.35169	7.41684	18.4901	388.161	0.00399627	1.4	3.95973	0.752342
30	0.133564	1.00896	1.36027	7.67561	18.2713	386.843	0.00396243	1.4	3.95973	0.752317
31	0.137887	1.00955	1.36881	7.92561	18.0552	385.53	0.0039289	1.4	3.95973	0.752302
32	0.142208	1.01016	1.37736	8.17561	17.8412	384.219	0.00389558	1.4	3.95973	0.752287
33	0.14778	1.01098	1.38838	8.49832	17.5679	382.528	0.00385286	1.4	3.95973	0.75225
34	0.152094	1.01163	1.39715	8.74832	17.3526	381.183	0.00381908	1.4	3.95973	0.752246
35	0.156406	1.01231	1.40593	8.99832	17.1395	379.839	0.00378551	1.4	3.95973	0.752247
36	0.163168	1.0134	1.4197	9.39083	16.8091	377.733	0.00373324	1.4	3.95973	0.752185
37	0.167471	1.01412	1.42868	9.64083	16.5961	376.359	0.0036994	1.4	3.95973	0.752198
38	0.171771	1.01486	1.43767	9.89083	16.3854	374.988	0.00366579	1.4	3.95973	0.752216
39	0.179825	1.0163	1.45452	10.3596	15.996	372.419	0.00360334	1.4	3.95973	0.752122
40	0.184116	1.0171	1.46371	10.6096	15.7869	371.022	0.00356964	1.4	3.95973	0.752156
41	0.188403	1.01791	1.47289	10.8596	15.58	369.626	0.00353615	1.4	3.95973	0.752199
42	0.192686	1.01874	1.48208	11.1096	15.3752	368.232	0.0035029	1.4	3.95973	0.752245
43	0.197856	1.01977	1.49319	11.4116	15.1306	366.548	0.00346301	1.4	3.95973	0.752293
44	0.202131	1.02064	1.50256	11.6616	14.9268	365.131	0.00342962	1.4	3.95974	0.752352
45	0.206403	1.02153	1.51193	11.9116	14.7251	363.714	0.00339646	1.4	3.95974	0.752418
46	0.21067	1.02244	1.52131	12.1616	14.5256	362.299	0.00336352	1.4	3.95974	0.752488
47	0.217373	1.02391	1.53608	12.5548	14.2161	360.077	0.00331217	1.4	3.95974	0.752546
48	0.221629	1.02487	1.54563	12.8048	14.0189	358.642	0.00327928	1.4	3.95975	0.752633
49	0.225882	1.02585	1.55519	13.0548	13.8238	357.209	0.00324662	1.4	3.95975	0.752729
50	0.230131	1.02684	1.56476	13.3048	13.6308	355.778	0.00321419	1.4	3.95975	0.752829
51	0.238493	1.02886	1.58366	13.7976	13.2565	352.958	0.00315089	1.4	3.95976	0.752891
52	0.242728	1.02991	1.59339	14.0476	13.0672	351.511	0.00311868	1.4	3.95976	0.753016
53	0.246959	1.03097	1.60313	14.2976	12.88	350.064	0.0030867	1.4	3.95977	0.753152
54	0.251185	1.03206	1.61289	14.5476	12.6948	348.619	0.00305494	1.4	3.95977	0.753291
55	0.255406	1.03317	1.62266	14.7976	12.5117	347.175	0.00302341	1.4	3.95978	0.753439
56	0.261346	1.03475	1.63646	15.1499	12.2572	345.142	0.00297934	1.4	3.95978	0.753618
57	0.26252	1.03507	1.63922	15.2196	12.2067	344.736	0.00297058	1.4	3.95979	0.753673
58	0.283232	1.04079	1.66052	15.6366	11.824	341.612	0.00290375	1.4	3.95979	0.753673
59	0.315344	1.0499	1.68538	16.0174	11.3907	337.988	0.00282734	1.4	3.95979	0.753672
60	0.35465	1.06131	1.71222	16.3466	10.939	334.102	0.00274678	1.4	3.95979	0.753671
61	0.399764	1.07466	1.74042	16.6233	10.4817	330.051	0.00266426	1.4	3.95979	0.753673
62	0.449866	1.08973	1.76967	16.8468	10.0257	325.884	0.00258096	1.4	3.95979	0.75367
63	0.504308	1.10631	1.79955	17.023	9.57875	321.665	0.00249823	1.4	3.95979	0.75367
64	0.562647	1.12425	1.82986	17.1548	9.14429	317.427	0.00241676	1.4	3.95979	0.753669
65	0.624476	1.1434	1.86033	17.2475	8.72595	313.208	0.00233726	1.4	3.95979	0.753667
66	0.689496	1.16362	1.89083	17.3044	8.32524	309.029	0.00226008	1.4	3.95979	0.753669
67	0.757425	1.18481	1.92122	17.3292	7.94322	304.91	0.00218551	1.4	3.95979	0.753664
68	0.828043	1.20684	1.95144	17.3245	7.57998	300.859	0.00211365	1.4	3.95979	0.753668
69	0.901144	1.22962	1.98142	17.2928	7.23531	296.885	0.00204454	1.4	3.95979	0.753662
