i	j	x	r	mach	theta	press	temp	massflow
0	0	0	1	1.17779	0	23.3438	414.892	3.93017
0	1	0.000230286	1	1.17789	0.0131944	23.341	414.878	3.96005
0	2	0.000920735	1	1.17816	0.0527543	23.3326	414.836	3.96082
0	3	0.00207073	1	1.17865	0.118644	23.3179	414.761	3.96136
0	4	0.00367965	1.00001	1.17938	0.210829	23.2961	414.65	3.9617
0	5	0.00574714	1.00002	1.18039	0.329289	23.2657	414.495	3.96185
0	6	0.00827332	1.00003	1.18174	0.474031	23.2252	414.289	3.96183
0	7	0.0112592	1.00006	1.18349	0.645118	23.1725	414.021	3.96169
0	8	0.0147071	1.00011	1.18573	0.842684	23.1054	413.678	3.96144
0	9	0.0186211	1.00017	1.18855	1.06697	23.0212	413.246	3.96111
0	10	0.0230076	1.00026	1.19204	1.31835	22.917	412.711	3.96075
0	11	0.027876	1.00039	1.19633	1.59738	22.7896	412.054	3.96037
0	12	0.0332391	1.00055	1.20152	1.90481	22.6358	411.258	3.96005
0	13	0.0391138	1.00077	1.20775	2.24162	22.4521	410.301	3.95986
0	14	0.0455216	1.00104	1.21516	2.6091	22.235	409.164	3.95979
0	15	0.0524892	1.00138	1.22389	3.00879	21.9811	407.823	3.95979
0	16	0.0600488	1.0018	1.23409	3.44261	21.687	406.257	3.95977
0	17	0.0682387	1.00233	1.2459	3.91283	21.3494	404.44	3.95977
0	18	0.0725912	1.00264	1.25257	4.16283	21.1604	403.414	3.95977
0	19	0.0771036	1.00298	1.2595	4.4221	20.9655	402.349	3.95976
0	20	0.0814532	1.00332	1.26654	4.6721	20.7684	401.264	3.95976
0	21	0.0866942	1.00377	1.27503	4.97346	20.5326	399.957	3.95976
0	22	0.0910403	1.00415	1.28243	5.22346	20.3287	398.818	3.95976
0	23	0.097068	1.00472	1.29269	5.57036	20.0484	397.239	3.95975
0	24	0.10141	1.00516	1.30041	5.82036	19.8391	396.05	3.95975
0	25	0.108289	1.00588	1.31265	6.2167	19.5109	394.167	3.95975
0	26	0.112626	1.00636	1.32067	6.4667	19.2978	392.932	3.95974
0	27	0.120429	1.00728	1.3351	6.91684	18.9189	390.712	3.95974
0	28	0.124759	1.00781	1.3434	7.16684	18.7035	389.436	3.95974
0	29	0.129087	1.00837	1.35169	7.41684	18.4901	388.161	3.95973
0	30	0.133564	1.00896	1.36027	7.67561	18.2713	386.843	3.95973
0	31	0.137887	1.00955	1.36881	7.92561	18.0552	385.53	3.95973
0	32	0.142208	1.01016	1.37736	8.17561	17.8412	384.219	3.95973
0	33	0.14778	1.01098	1.38838	8.49832	17.5679	382.528	3.95973
0	34	0.152094	1.01163	1.39715	8.74832	17.3526	381.183	3.95973
0	35	0.156406	1.01231	1.40593	8.99832	17.1395	379.839	3.95973
0	36	0.163168	1.0134	1.4197	9.39083	16.8091	377.733	3.95973
0	37	0.167471	1.01412	1.42868	9.64083	16.5961	376.359	3.95973
0	38	0.171771	1.01486	1.43767	9.89083	16.3854	374.988	3.95973
0	39	0.179825	1.0163	1.45452	10.3596	15.996	372.419	3.95973
0	40	0.184116	1.0171	1.46371	10.6096	15.7869	371.022	3.95973
0	41	0.188403	1.01791	1.47289	10.8596	15.58	369.626	3.95973
0	42	0.192686	1.01874	1.48208	11.1096	15.3752	368.232	3.95973
0	43	0.197856	1.01977	1.49319	11.4116	15.1306	366.548	3.95973
0	44	0.202131	1.02064	1.50256	11.6616	14.9268	365.131	3.95974
0	45	0.206403	1.02153	1.51193	11.9116	14.7251	363.714	3.95974
0	46	0.21067	1.02244	1.52131	12.1616	14.5256	362.299	3.95974
0	47	0.217373	1.02391	1.53608	12.5548	14.2161	360.077	3.95974
0	48	0.221629	1.02487	1.54563	12.8048	14.0189	358.642	3.95975
0	49	0.225882	1.02585	1.55519	13.0548	13.8238	357.209	3.95975
0	50	0.230131	1.02684	1.56476	13.3048	13.6308	355.778	3.95975
0	51	0.238493	1.02886	1.58366	13.7976	13.2565	352.958	3.95976
0	52	0.242728	1.02991	1.59339	14.0476	13.0672	351.511	3.95976
0	53	0.246959	1.03097	1.60313	14.2976	12.88	350.064	3.95977
0	54	0.251185	1.03206	1.61289	14.5476	12.6948	348.619	3.95977
0	55	0.255406	1.03317	1.62266	14.7976	12.5117	347.175	3.95978
0	56	0.261346	1.03475	1.63646	15.1499	12.2572	345.142	3.95978
0	57	0.26252	1.03507	1.63922	15.2196	12.2067	344.736	3.95979
