i	j	x	r	mach	theta	press	temp
0	58	0.283232	1.04079	1.66052	15.6366	11.824	341.612
1	58	0.284843	1.04016	1.66098	15.6384	11.8158	341.545
2	58	0.300537	1.03404	1.66579	15.6476	11.731	340.842
3	58	0.316986	1.02766	1.67111	15.6494	11.6378	340.066
4	58	0.334181	1.02105	1.67691	15.6446	11.5368	339.22
5	58	0.352112	1.01421	1.68318	15.6335	11.4286	338.308
6	58	0.370763	1.00715	1.68988	15.6169	11.3138	337.335
7	58	0.39012	0.999875	1.697	15.5953	11.1932	336.303
8	58	0.410163	0.992408	1.7045	15.5694	11.0672	335.217
9	58	0.430876	0.984758	1.71237	15.5395	10.9365	334.081
10	58	0.452239	0.976936	1.72057	15.5063	10.8017	332.899
11	58	0.474233	0.968954	1.7291	15.4701	10.6631	331.673
12	58	0.49684	0.960824	1.73793	15.4312	10.5213	330.407
13	58	0.520042	0.952557	1.74705	15.3898	10.3767	329.103
14	58	0.543823	0.944162	1.75646	15.3462	10.2294	327.762
15	58	0.568168	0.93565	1.76614	15.3003	10.0798	326.385
16	58	0.593063	0.92703	1.77609	15.2521	9.92807	324.973
17	58	0.618495	0.918309	1.78633	15.2015	9.77429	323.527
18	58	0.644454	0.909495	1.79684	15.1482	9.61858	322.046
19	58	0.670931	0.900593	1.80764	15.092	9.46098	320.53
20	58	0.697918	0.891611	1.81874	15.0326	9.30151	318.977
21	58	0.72541	0.882553	1.83015	14.9696	9.14018	317.386
22	58	0.753401	0.873423	1.84189	14.9025	8.97695	315.756
23	58	0.781889	0.864224	1.85397	14.8308	8.81179	314.085
24	58	0.801505	0.857944	1.862	14.7897	8.70349	312.978
25	58	0.8306	0.848708	1.8746	14.7102	8.53632	311.248
26	58	0.850715	0.842377	1.88304	14.663	8.42592	310.093
27	58	0.870974	0.836044	1.89164	14.613	8.31486	308.919
28	58	0.890374	0.830023	1.89897	14.591	8.22118	307.921
29	58	0.909035	0.824273	1.90559	14.583	8.13758	307.023
30	58	0.927716	0.818557	1.91241	14.5702	8.05228	306.1
31	58	0.946556	0.812832	1.91951	14.5516	7.96433	305.141
32	58	0.965239	0.807195	1.92649	14.5356	7.87879	304.201
33	58	0.984299	0.801484	1.93393	14.5105	7.78842	303.2
34	58	1.00328	0.795834	1.94133	14.4869	7.69973	302.21
35	58	1.02245	0.790169	1.94896	14.459	7.6092	301.19
36	58	1.04197	0.78444	1.957	14.4234	7.51483	300.118
37	58	1.06107	0.77887	1.96462	14.3964	7.42654	299.106
38	58	1.07725	0.774184	1.97173	14.3553	7.34494	298.164
39	58	1.09683	0.768542	1.97992	14.3178	7.25213	297.082
40	58	1.11281	0.763967	1.98682	14.2817	7.17485	296.174
41	58	1.12936	0.759253	1.99433	14.2341	7.09151	295.187
42	58	1.14558	0.754658	2.00149	14.1934	7.01297	294.249
43	58	1.16164	0.750129	2.00856	14.1542	6.93629	293.327
44	58	1.1782	0.745486	2.01619	14.1043	6.85437	292.333
45	58	1.19479	0.740855	2.02391	14.0525	6.77243	291.33
46	58	1.21057	0.736473	2.0308	14.016	6.70015	290.438
47	58	1.22686	0.731969	2.03835	13.9668	6.6218	289.464
48	58	1.24179	0.727863	2.0456	13.9127	6.54739	288.53
49	58	1.25651	0.723831	2.05268	13.8612	6.47548	287.621
50	58	1.27047	0.720019	2.05904	13.8225	6.41159	286.808
51	58	1.28631	0.715716	2.06652	13.7713	6.33718	285.853
52	58	1.30002	0.712005	2.07335	13.7176	6.26996	284.983
53	58	1.31436	0.708137	2.0805	13.6614	6.20038	284.076
54	58	1.32788	0.704506	2.08689	13.618	6.13885	283.268
55	58	1.34051	0.701123	2.09296	13.575	6.08092	282.501
56	58	1.35326	0.697721	2.09933	13.5251	6.02075	281.7
57	58	1.36587	0.694364	2.10574	13.4729	5.96073	280.895
58	58	1.37822	0.691088	2.11207	13.4204	5.90206	280.102
59	58	1.39017	0.687927	2.11818	13.3699	5.84593	279.338
60	58	1.40098	0.685075	2.1233	13.3353	5.79933	278.7
61	58	1.41185	0.682214	2.12877	13.2923	5.75001	278.021
62	58	1.42222	0.679491	2.13416	13.2466	5.70177	277.353
